Trial ID,Condition,Duration (s),Samples,Sampling Rate (Hz),Initial Resistance (Ohm),Final Resistance (Ohm),Delta R (Ohm),Delta R/R0 (%),Resistance Mean (Ohm),Resistance SD (Ohm),Resistance Min (Ohm),Resistance Max (Ohm),Resistance Range (Ohm),Initial Voltage (V),Final Voltage (V),Delta V (V),Delta V/V0 (%),Voltage Mean (V),Voltage SD (V),Voltage Min (V),Voltage Max (V),Voltage Range (V),Hardness,Surface,Roughness Density (%)
Rough_H10_R30_T01,Rough_H10_R30,24.612679799989564,2833,115.06264344288104,51838.35,51020.24,-818.1100000000006,-1.578194522009286,51312.27841510766,431.3418024089425,50060.66,52076.22,2015.5599999999977,3.06,3.04,-0.020000000000000018,-0.6535947712418306,3.0432827391457815,0.010349871824608236,3.01,3.06,0.050000000000000266,10.0,Rough,30.0
Rough_H10_R40_T01,Rough_H10_R40,19.03474040000583,2364,124.14143562468949,63157.35,61398.66,-1758.689999999995,-2.784616517317454,61648.32539340102,1028.841933958168,60431.48,63781.29,3349.8099999999977,3.28,3.25,-0.029999999999999805,-0.9146341463414575,3.25674703891709,0.019040929391130276,3.23,3.3,0.06999999999999984,10.0,Rough,40.0
Hardness_10_T01,Smooth_H10,39.61409378051758,3350,84.54061876450285,39287.17,39561.36,274.1900000000023,0.6979123209943662,39165.736985074625,307.4794615688527,38546.66,39904.01,1357.3499999999985,2.72,2.73,0.009999999999999787,0.36764705882352156,2.7136597014925368,0.009290214073035869,2.69,2.74,0.050000000000000266,10.0,Smooth,
Rough_H20_R30_T01,Rough_H20_R30,19.3417929999996,2387,123.35981467695622,62572.52,67403.14,4830.620000000003,7.720034289812849,63012.6642019271,2568.8925490309553,5.04,67967.61,67962.57,3.27,3.36,0.08999999999999986,2.752293577981647,3.2809844993715966,0.03927168122396841,3.22,3.37,0.1499999999999999,20.0,Rough,30.0
Rough_H20_R40_T01,Rough_H20_R40,19.157642700010914,2362,123.24063231425936,63930.53,62775.37,-1155.1599999999962,-1.806898832216777,61709.677726502974,2088.6698592502426,57696.72,64488.92,6792.199999999997,3.3,3.28,-0.020000000000000018,-0.6060606060606066,3.2571464860287893,0.03912553514462264,3.18,3.31,0.1299999999999999,20.0,Rough,40.0
Hardness_20_T01,Smooth_H20,32.91435146331787,2790,84.73507379017518,40188.99,38610.69,-1578.2999999999956,-3.9271949854922847,39560.022118279565,541.6682656051772,38523.39,40231.62,1708.2300000000032,2.75,2.7,-0.04999999999999982,-1.818181818181812,2.7251182795698923,0.016642035215328106,2.69,2.75,0.06000000000000005,20.0,Smooth,
Rough_H30_R30_T01,Rough_H30_R30,19.450226099987052,2403,123.49470837264967,79335.64,84920.32,5584.680000000008,7.039307932727344,80960.00720765711,3586.6961264523234,76294.14,86961.83,10667.690000000002,3.53,3.6,0.07000000000000028,1.9830028328611982,3.551414898044112,0.04513073138996057,3.49,3.62,0.1299999999999999,30.0,Rough,30.0
Rough_H30_R40_T01,Rough_H30_R40,18.03731929999776,2284,126.57091455936491,61146.175,57752.83,-3393.345000000001,-5.54956217621135,60172.528660245174,1045.7063008338175,57426.44,61769.72,4343.279999999999,3.25,3.18,-0.06999999999999984,-2.153846153846149,3.228887915936953,0.020349134183828617,3.18,3.26,0.07999999999999963,30.0,Rough,40.0
Hardness_30_T01,Smooth_H30,35.27210235595703,2988,84.68449002148951,45636.96,42415.64,-3221.3199999999997,-7.058577083136123,44426.52771753682,1373.4930136394858,41338.97,45700.26,4361.290000000001,2.9,2.81,-0.08999999999999986,-3.103448275862064,2.868838688085676,0.038889669254417294,2.78,2.9,0.1200000000000001,30.0,Smooth,
Rough_H50_R30_T01,Rough_H50_R30,18.902702999999747,2359,124.74406438063549,67403.14,63791.94,-3611.199999999997,-5.357613903447224,65984.9355023315,1401.171452682282,63378.51,67724.92,4346.409999999996,3.36,3.3,-0.06000000000000005,-1.7857142857142874,3.332395082662145,0.06595683644817517,0.36,3.36,3.0,50.0,Rough,30.0
Rough_H50_R40_T01,Rough_H50_R40,18.935881399986105,2349,123.9973968152189,62066.62,59517.96,-2548.6600000000035,-4.106329618078129,61382.235972754366,892.088821158602,58995.68,62531.03,3535.3499999999985,3.26,3.22,-0.03999999999999959,-1.2269938650306624,3.250719455087271,0.016351868974074424,3.21,3.27,0.06000000000000005,50.0,Rough,40.0
Hardness_50_T01,Smooth_H50,32.99344825744629,2797,84.7440976215322,55945.79,54582.53,-1363.260000000002,-2.4367517198345077,55147.06350017877,556.7862608118384,53933.61,56080.85,2147.239999999998,3.14,3.12,-0.020000000000000018,-0.6369426751592362,3.1282516982481234,0.011975884546294984,3.1,3.15,0.04999999999999982,50.0,Smooth,
