Condition,Surface,Hardness,Roughness Density (%),Maximum Force (N),Maximum Displacement,Maximum Strain,Maximum Stress (MPa),Effective Loading Stiffness (N/unit),Mechanical Work
Rough_H10_R30,Rough,10,30.0,0.5863,3.0059,17.65,0.0004,0.16780758120839293,0.5516142549999999
Rough_H10_R40,Rough,10,40.0,0.4672,3.0056,17.6635,0.0003,0.11533002972342438,0.31250872500000004
Smooth_H10,Smooth,10,,4.5455,3.0056,33.2876,0.0029,1.019392358778853,1.9320003550000004
Rough_H20_R30,Rough,20,30.0,0.9476,3.0053,17.6685,0.0006,0.20729326424244182,0.646101
Rough_H20_R40,Rough,20,40.0,0.5411,3.0052,17.6107,0.0003,0.1438906715667268,0.5202819599999999
Smooth_H20,Smooth,20,,0.3434,3.0058,17.6503,0.0002,0.09609947162753751,0.346880765
Rough_H30_R30,Rough,30,30.0,1.2582,3.0054,17.665,0.0008,0.23953408146979766,0.7303699499999999
Rough_H30_R40,Rough,30,40.0,0.6002,3.005,17.1527,0.0004,0.1339125590606986,0.3186377900000001
Smooth_H30,Smooth,30,,8.757,3.0058,17.665,0.0055,2.4479325399151075,3.936094795
Rough_H50_R30,Rough,50,30.0,0.4193,3.005,17.6715,0.0003,0.11337545686912334,0.38160984000000003
Rough_H50_R40,Rough,50,40.0,0.696,3.0055,17.6551,0.0004,0.15773727756169473,0.56122832
Smooth_H50,Smooth,50,,3.8392,3.0045,17.6373,0.0024,0.9220164808175706,1.535307795
