Hardness,Surface condition,Condition,SNR ratio,SNR (dB),Noise SD (Ohm),Peak |Delta R| (Ohm)
10,Smooth,Smooth_H10,9.903686392619246,19.91593759290832,24.074873794235952,238.4300000000003
10,R30,Rough_H10_R30,29.5343864016371,29.40655905007455,60.46782132914078,1785.8799999999974
10,R40,Rough_H10_R40,34.29035754248583,30.70344026976409,79.49377595793909,2725.8699999999953
20,Smooth,Smooth_H20,19.782844713318536,25.925774839728845,808.2164234568221,15988.820000000007
20,R30,Rough_H20_R30,8.8079182954304,18.89746554704797,21990.189225584254,193687.79
20,R40,Rough_H20_R40,23.841199900970228,27.546562183491936,860.9126254238873,20525.190000000002
30,Smooth,Smooth_H30,44.577572710615414,32.982328341168305,21.334719280790242,951.0499999999956
30,R30,Rough_H30_R30,87.39329633952015,38.82956241140368,87.26287163231032,7626.190000000002
30,R40,Rough_H30_R40,14.901537453156791,23.4646215735823,249.62088722006328,3719.7350000000006
50,Smooth,Smooth_H50,31.577682086503476,29.987604961839267,39.594736452628645,1250.3099999999977
50,R30,Rough_H50_R30,50.65495801436677,34.09243919447869,79.45184751428539,4024.6299999999974
50,R40,Rough_H50_R40,47.561001126666824,33.545019752915884,64.5684474097028,3070.9400000000023
