Condition,Hardness,Surface,Loading Onset (s),Initial Force (N),Force Threshold (N),Arduino Sampling Rate (Hz),Instron Sampling Rate (Hz),Synchronized Samples,Synchronized Duration (s),Arduino File,Instron File,Output File
H10_Smooth,10,Smooth,0.9,0.00385,0.00885,81.84486896794256,50.000000000001066,1653,19.28966736793518,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\SmoothSurface\Hardness_10\Hardness_10_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\SmoothSurface\Hardness_10_Trial01.is_ccyclic_Exports\Hardness_10_Trial01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H10_Smooth_T01.csv
H20_Smooth,20,Smooth,0.8,0.0082,0.0132,82.81230604093125,50.000000000001066,2264,18.43195790000027,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\SmoothSurface\Hardness_20\Smooth_H20_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\SmoothSurface\Hardness_20_Trial01.is_ccyclic_Exports\Hardness_20_Trial01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H20_Smooth_T01.csv
H30_Smooth,30,Smooth,1.58,-0.0001,0.0049,81.89520750553417,50.000000000001066,1639,19.11409330368042,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\SmoothSurface\Hardness_30\Hardness_30_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\SmoothSurface\Hardness_30_Trial01.is_ccyclic_Exports\Hardness_30_Trial01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H30_Smooth_T01.csv
H50_Smooth,50,Smooth,1.74,-0.0001,0.0049,81.77465832212854,50.000000000001066,1621,18.908109664916992,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\SmoothSurface\Hardness_50\Hardness_50_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\SmoothSurface\Hardness_50_Trial01.is_ccyclic_Exports\Hardness_50_Trial01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H50_Smooth_T01.csv
H10_R30,10,R30,0.76,0.0092,0.0142,83.09167510235365,50.000000000001066,2318,18.441693499975376,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\RoughSurface\Rough_H10_R30\Rough_H10_R30_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\RoughSurface\Hardness_10_Trialden30.is_ccyclic_Exports\Hardness_10_Trialden30_1_2.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H10_R30_T01.csv
H10_R40,10,R40,0.82,0.0086,0.013600000000000001,83.09305578016432,50.000000000001066,2364,19.03474040000583,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\RoughSurface\Rough_H10_R40\Rough_H10_R40_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\RoughSurface\Hardness_10_Trialden40.is_ccyclic_Exports\Hardness_10_Trialden40_1_2.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H10_R40_T01.csv
H20_R30,20,R30,0.78,0.0103,0.015300000000000001,83.04130471991918,50.000000000001066,2337,18.74398169998312,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\RoughSurface\Rough_H20_R30\Rough_H20_R30_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\RoughSurface\Hardness_20_Trialden30.is_ccyclic_Exports\Hardness_20_Trial_1_2.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H20_R30_T01.csv
H20_R40,20,R40,0.74,0.0089,0.0139,83.04544237220426,50.000000000001066,2282,18.19954729999881,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\RoughSurface\Rough_H20_R40\Rough_H20_R40_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\RoughSurface\Hardness_20_Trialden40.is_ccyclic_Exports\Hardness_20_Trialden40_1_2.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H20_R40_T01.csv
H30_R30,30,R30,0.68,0.0107,0.0157,82.86857868265393,50.000000000001066,2356,18.884725199983222,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\RoughSurface\Rough_H30_R30\Rough_H30_R30_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\RoughSurface\Hardness_30_Trialden30.is_ccyclic_Exports\Hardness_30_Trialden30_1_2.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H30_R30_T01.csv
H30_R40,30,R40,1.08,0.0045,0.0095,83.23483891543879,50.000000000001066,2284,18.03731929999776,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Arduino_Instron_Data\RoughSurface\Rough_H30_R40\Rough_H30_R40_T01.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Dataset\Instron_Data\RoughSurface\Hardness_30_Trialden40.is_ccyclic_Exports\Hardness_30_Trialden40_1_2.csv,C:\Users\rgupta\Desktop\Master thesis\Hydrogel_Data_Acquisition\Analysis\Synchronized_Data\Synchronized_H30_R40_T01.csv
