Time (s),Voltage (V),Resistance (Ohm)
0.0005016326904296875,2.98,48612.47
0.0009286403656005859,2.98,48536.85
0.0012786388397216797,2.98,48597.33
0.0016193389892578125,2.98,48567.07
0.0019369125366210938,2.98,48529.29
0.0022640228271484375,2.98,48574.64
0.002592802047729492,2.98,48559.51
0.002901315689086914,2.98,48544.4
0.0032129287719726562,2.98,48559.51
0.003522634506225586,2.98,48529.29
0.0038301944732666016,2.98,48627.61
0.004137992858886719,2.98,48582.2
0.004457950592041016,2.98,48574.64
0.004763364791870117,2.98,48604.9
0.005064964294433594,2.98,48567.07
0.00543665885925293,2.98,48567.07
0.0057849884033203125,2.98,48544.4
0.006095170974731445,2.98,48559.51
0.006407737731933594,2.98,48544.4
0.00670933723449707,2.98,48567.07
0.008617401123046875,2.98,48544.4
0.008913755416870117,2.98,48544.4
0.009205341339111328,2.98,48536.85
0.00949406623840332,2.98,48574.64
0.009783029556274414,2.98,48567.07
0.010070323944091797,2.98,48574.64
0.010363340377807617,2.98,48536.85
0.010650157928466797,2.98,48551.96
0.010940313339233398,2.98,48551.96
0.011228561401367188,2.98,48529.29
0.011515140533447266,2.98,48551.96
0.01180124282836914,2.98,48506.64
0.012089014053344727,2.98,48529.29
0.012392997741699219,2.98,48559.51
0.012671232223510742,2.98,48521.74
0.012951374053955078,2.98,48536.85
0.01323080062866211,2.98,48574.64
0.013508796691894531,2.98,48567.07
0.013785600662231445,2.98,48544.4
0.014062166213989258,2.98,48567.07
0.014413595199584961,2.98,48559.51
0.014702558517456055,2.98,48559.51
0.014984607696533203,2.98,48514.19
0.023294687271118164,2.98,48521.74
0.035614728927612305,2.98,48544.4
0.0478825569152832,2.98,48551.96
0.06011652946472168,2.98,48499.1
0.0725553035736084,2.98,48529.29
0.08435797691345215,2.98,48484.0
0.09289145469665527,2.98,48499.1
0.1053001880645752,2.98,48567.07
0.11757779121398926,2.98,48529.29
0.12987470626831055,2.98,48521.74
0.14347481727600098,2.98,48499.1
0.1556849479675293,2.98,48491.54
0.16785860061645508,2.98,48536.85
0.1802370548248291,2.98,48491.54
0.19257044792175293,2.98,48491.54
0.20435619354248047,2.98,48506.64
0.21655011177062988,2.98,48499.1
0.22856688499450684,2.98,48521.74
0.2403097152709961,2.98,48514.19
0.24892711639404297,2.97,48476.45
0.26116371154785156,2.98,48559.51
0.27339935302734375,2.98,48574.64
0.2859764099121094,2.98,48521.74
0.2985725402832031,2.98,48536.85
0.31131911277770996,2.98,48491.54
0.3235354423522949,2.97,48476.45
0.33588361740112305,2.97,48476.45
0.34814882278442383,2.98,48491.54
0.3602170944213867,2.97,48476.45
0.37131452560424805,2.98,48491.54
0.3838512897491455,2.97,48461.37
0.3958570957183838,2.98,48484.0
0.40447402000427246,2.98,48499.1
0.4166228771209717,2.98,48521.74
0.4290809631347656,2.98,48529.29
0.44155120849609375,2.98,48499.1
0.4539663791656494,2.97,48453.83
0.46697068214416504,2.98,48499.1
0.4793367385864258,2.97,48438.75
0.4915604591369629,2.97,48468.91
0.5036811828613281,2.97,48423.68
0.5156857967376709,2.97,48416.15
0.5281479358673096,2.97,48438.75
0.5401875972747803,2.97,48401.08
0.5520205497741699,2.97,48393.55
0.5638840198516846,2.97,48453.83
0.5734853744506836,2.97,48416.15
0.58561110496521,2.97,48461.37
0.5979228019714355,2.97,48476.45
0.6102304458618164,2.97,48461.37
0.6225950717926025,2.97,48438.75
0.6349217891693115,2.97,48393.55
0.6472177505493164,2.97,48423.68
0.6594312191009521,2.97,48401.08
0.6717216968536377,2.97,48431.22
0.6838357448577881,2.97,48333.37
0.6958484649658203,2.97,48416.15
0.707763671875,2.97,48423.68
0.7199389934539795,2.97,48378.51
0.7289836406707764,2.97,48431.22
0.7414655685424805,2.97,48453.83
0.7536802291870117,2.97,48401.08
0.7659561634063721,2.97,48438.75
0.7782456874847412,2.97,48340.89
0.7903869152069092,2.97,48401.08
0.8017985820770264,2.97,48401.08
0.8141684532165527,2.97,48393.55
0.8266043663024902,2.97,48393.55
0.8387775421142578,2.97,48363.46
0.851578950881958,2.97,48378.51
0.8636326789855957,2.97,48393.55
0.8755335807800293,2.97,48355.93
0.8835699558258057,2.97,48378.51
0.8969569206237793,2.97,48438.75
0.9092121124267578,2.97,48370.98
0.921445369720459,2.97,48393.55
0.9328916072845459,2.97,48378.51
0.9451847076416016,2.97,48378.51
0.9573578834533691,2.97,48348.41
0.9699699878692627,2.97,48370.98
0.9824860095977783,2.97,48378.51
0.9952170848846436,2.97,48386.03
1.0062456130981445,2.97,48378.51
1.0184450149536133,2.97,48378.51
1.0305757522583008,2.97,48401.08
1.0431349277496338,2.97,48370.98
1.0512983798980713,2.97,48401.08
1.0636520385742188,2.97,48393.55
1.0765507221221924,2.97,48348.41
1.088696002960205,2.97,48408.61
1.100978136062622,2.97,48340.89
1.1132278442382812,2.97,48355.93
1.1258587837219238,2.97,48370.98
1.1386070251464844,2.97,48333.37
1.150965929031372,2.97,48325.86
1.1630756855010986,2.97,48340.89
1.174928903579712,2.97,48318.34
1.187246322631836,2.97,48333.37
1.198969841003418,2.97,48310.83
1.2100191116333008,2.97,48318.34
1.2205908298492432,2.97,48378.51
1.2326455116271973,2.97,48348.41
1.2451834678649902,2.97,48355.93
1.2576472759246826,2.97,48348.41
1.269662618637085,2.97,48303.31
1.282090425491333,2.97,48295.81
1.2943401336669922,2.97,48303.31
1.306605339050293,2.97,48295.81
1.318859577178955,2.97,48295.81
1.3308241367340088,2.97,48265.78
1.342921257019043,2.97,48243.27
1.3547918796539307,2.97,48295.81
1.3664684295654297,2.97,48273.28
1.37492036819458,2.97,48273.28
1.3874988555908203,2.97,48340.89
1.3996071815490723,2.97,48250.77
1.4121243953704834,2.97,48310.83
1.424260139465332,2.97,48280.79
1.4368212223052979,2.97,48258.27
1.4492850303649902,2.97,48273.28
1.4620141983032227,2.97,48228.27
1.4747095108032227,2.97,48243.27
1.4865643978118896,2.97,48265.78
1.4986352920532227,2.97,48228.27
1.5104224681854248,2.97,48235.76
1.5220563411712646,2.97,48250.77
1.5306336879730225,2.97,48265.78
1.5430324077606201,2.97,48318.34
1.5551340579986572,2.97,48303.31
1.56766676902771,2.97,48288.29
1.5800373554229736,2.97,48273.28
1.5924692153930664,2.97,48228.27
1.6047546863555908,2.97,48205.79
1.6177573204040527,2.97,48220.78
1.6300461292266846,2.97,48205.79
1.6419103145599365,2.97,48220.78
1.6538474559783936,2.97,48288.29
1.6659715175628662,2.97,48243.27
1.6778721809387207,2.97,48265.78
1.6902263164520264,2.97,48220.78
1.6987707614898682,2.97,48273.28
1.7113239765167236,2.97,48310.83
1.7241535186767578,2.97,48303.31
1.7366845607757568,2.97,48280.79
1.7488601207733154,2.97,48310.83
1.7611327171325684,2.97,48265.78
1.773369550704956,2.97,48273.28
1.7857880592346191,2.97,48265.78
1.796945333480835,2.97,48220.78
1.8091797828674316,2.97,48273.28
1.8215820789337158,2.97,48220.78
1.83402681350708,2.97,48258.27
1.8460843563079834,2.97,48250.77
1.8553543090820312,2.97,48213.28
1.8676354885101318,2.97,48295.81
1.87880277633667,2.97,48273.28
1.8912882804870605,2.97,48235.76
1.9036176204681396,2.97,48235.76
1.9158151149749756,2.97,48198.29
1.9279570579528809,2.97,48175.82
1.940185308456421,2.97,48153.36
1.952517032623291,2.97,48168.33
1.9646656513214111,2.97,48175.82
1.9769971370697021,2.97,48183.3
1.989250659942627,2.97,48183.3
2.0013034343719482,2.97,48160.85
2.0134613513946533,2.97,48190.8
2.022010087966919,2.97,48198.29
2.034337043762207,2.97,48235.76
2.046596050262451,2.97,48213.28
2.059124708175659,2.97,48145.88
2.071324586868286,2.97,48175.82
2.083889961242676,2.97,48198.29
2.096259593963623,2.97,48123.44
2.1092183589935303,2.97,48190.8
2.1216466426849365,2.97,48153.36
2.1338071823120117,2.97,48145.88
2.145777463912964,2.97,48168.33
2.1578762531280518,2.97,48153.36
2.1696836948394775,2.97,48190.8
2.1790266036987305,2.97,48145.88
2.1913387775421143,2.97,48213.28
2.2035927772521973,2.97,48220.78
2.216942310333252,2.97,48168.33
2.228151559829712,2.97,48190.8
2.240330457687378,2.97,48190.8
2.2527434825897217,2.97,48175.82
2.2650372982025146,2.97,48175.82
2.2772185802459717,2.97,48183.3
2.2893917560577393,2.96,47966.69
2.301420211791992,2.96,47877.4
2.3133227825164795,2.96,47862.53
2.3250644207000732,2.96,47795.72
2.333824872970581,2.96,47788.29
2.3460540771484375,2.96,47847.67
2.3586649894714355,2.96,47877.4
2.3710484504699707,2.96,47914.58
2.382782220840454,2.96,48003.96
2.394866466522217,2.96,48011.41
2.4073967933654785,2.96,48056.18
2.419620990753174,2.96,48041.26
2.4318630695343018,2.97,48101.01
2.444183826446533,2.97,48130.91
2.456483840942383,2.97,48101.01
2.4687061309814453,2.97,48130.91
