Time (s),Voltage (V),Resistance (Ohm)
0.001798868179321289,1.31,11729.84
0.0033533573150634766,1.31,11709.39
0.0037870407104492188,1.31,11732.12
0.004149198532104492,1.31,11723.02
0.004498481750488281,1.31,11716.2
0.0048482418060302734,1.31,11716.2
0.0051877498626708984,1.31,11707.12
0.005607128143310547,1.31,11693.49
0.0059506893157958984,1.31,11666.27
0.006293773651123047,1.31,11661.74
0.0066394805908203125,1.31,11661.74
0.006975889205932617,1.3,11650.41
0.007313251495361328,1.3,11643.61
0.007653236389160156,1.31,11659.47
0.007989645004272461,1.31,11664.0
0.008371591567993164,1.3,11650.41
0.010279417037963867,1.3,11643.61
0.010630130767822266,1.3,11643.61
0.010954856872558594,1.3,11634.56
0.011275053024291992,1.3,11636.82
0.011599540710449219,1.3,11639.08
0.011918306350708008,1.3,11641.35
0.012236833572387695,1.31,11664.0
0.012557268142700195,1.31,11673.07
0.012876272201538086,1.31,11673.07
0.013195037841796875,1.31,11682.15
0.013515949249267578,1.31,11677.61
0.013834953308105469,1.31,11668.54
0.014154195785522461,1.31,11654.94
0.014495134353637695,1.3,11643.61
0.01481485366821289,1.3,11648.14
0.015135765075683594,1.3,11636.82
0.015517473220825195,1.3,11648.14
0.015865802764892578,1.3,11620.98
0.016193389892578125,1.3,11605.14
0.016518115997314453,1.3,11614.19
0.016840219497680664,1.3,11591.58
0.017165660858154297,1.3,11587.06
0.01749706268310547,1.3,11553.2
0.0178835391998291,1.3,11550.95
0.018207073211669922,1.3,11548.69
0.018531322479248047,1.29,11528.4
0.01885223388671875,1.29,11528.4
0.02232074737548828,1.29,11532.91
0.03431844711303711,1.29,11517.14
0.04293966293334961,1.29,11478.89
0.05544424057006836,1.29,11478.89
0.06795787811279297,1.29,11463.16
0.08108162879943848,1.29,11465.4
0.09311795234680176,1.29,11449.68
0.10559678077697754,1.29,11436.22
0.11760568618774414,1.29,11431.73
0.13003802299499512,1.29,11422.76
0.1423325538635254,1.28,11409.31
0.15412664413452148,1.28,11407.06
0.16571950912475586,1.28,11389.15
0.17798900604248047,1.28,11404.83
0.19022536277770996,1.28,11375.71
0.19925999641418457,1.28,11371.24
0.21143770217895508,1.28,11364.53
0.2237091064453125,1.28,11353.35
0.23585176467895508,1.28,11355.58
0.24757170677185059,1.28,11362.29
0.2599003314971924,1.28,11339.94
0.27217984199523926,1.28,11313.15
0.2844686508178711,1.28,11335.47
0.2969646453857422,1.28,11326.54
0.30905652046203613,1.28,11337.71
0.3214864730834961,1.28,11315.38
0.33357906341552734,1.28,11299.76
0.34589552879333496,1.28,11301.99
0.35474371910095215,1.27,11257.43
0.36746764183044434,1.27,11284.16
0.37993550300598145,1.27,11255.21
0.3920626640319824,1.27,11244.08
0.4044508934020996,1.27,11259.66
0.4168069362640381,1.27,11284.16
0.428985595703125,1.27,11279.7
0.4412989616394043,1.27,11250.75
0.4535849094390869,1.27,11241.86
0.46581435203552246,1.27,11239.63
0.4777853488922119,1.27,11248.53
0.48984408378601074,1.27,11259.66
0.5018565654754639,1.27,11255.21
0.5109436511993408,1.27,11277.47
0.5231959819793701,1.27,11275.25
0.5355186462402344,1.27,11224.07
0.5478734970092773,1.24,10910.71
0.5601561069488525,1.25,11002.93
0.5723683834075928,1.25,11031.55
0.584540605545044,1.25,11016.14
0.5968358516693115,1.16,9971.55
0.6080806255340576,1.16,10011.45
0.6202051639556885,1.14,9735.73
0.6325302124023438,1.12,9549.76
0.6449074745178223,1.12,9510.71
0.6570408344268799,1.12,9502.5
0.6656699180603027,1.12,9537.42
0.678004264831543,1.12,9527.14
0.6904168128967285,1.13,9593.01
0.7032251358032227,1.12,9578.59
0.7147431373596191,1.12,9551.82
0.726865291595459,1.12,9570.35
0.7394447326660156,1.12,9557.99
0.7518327236175537,1.13,9588.89
0.7644269466400146,1.13,9588.89
0.7766118049621582,1.13,9597.13
0.7886366844177246,1.13,9599.2
0.8003685474395752,1.12,9576.52
0.8098001480102539,1.13,9586.83
0.822141170501709,1.13,9597.13
0.8343076705932617,1.13,9582.7
0.8467507362365723,1.12,9578.59
0.859060525894165,1.12,9572.41
0.8712692260742188,1.12,9545.65
0.8836302757263184,1.12,9551.82
0.8958852291107178,1.12,9545.65
0.9077746868133545,1.12,9555.94
0.9198923110961914,1.12,9547.7
0.931847333908081,1.12,9535.37
0.9409811496734619,1.12,9531.25
0.9532175064086914,1.12,9541.54
0.9653301239013672,1.12,9549.76
0.9778454303741455,1.12,9531.25
0.9900486469268799,1.12,9523.03
1.0012378692626953,1.12,9541.54
1.0136888027191162,1.12,9551.82
1.0260839462280273,1.12,9560.05
1.038567304611206,1.12,9539.48
1.050818920135498,1.12,9535.37
1.06306791305542,1.12,9525.09
1.0749948024749756,1.12,9525.09
1.084143877029419,1.12,9506.6
1.0964546203613281,1.12,9506.6
1.10886812210083,1.12,9518.92
1.121124267578125,1.12,9510.71
1.133674144744873,1.12,9516.87
1.145735263824463,1.12,9518.92
1.1580064296722412,1.12,9512.76
1.1701655387878418,1.12,9512.76
1.1823928356170654,1.12,9492.23
1.1943607330322266,1.12,9494.29
1.2061221599578857,1.12,9496.34
1.2180821895599365,1.12,9488.13
1.2275824546813965,1.12,9508.66
1.2387804985046387,1.12,9506.6
1.2509510517120361,1.12,9527.14
1.2632217407226562,1.12,9525.09
1.2756712436676025,1.12,9508.66
1.2879037857055664,1.12,9527.14
1.300316572189331,1.12,9537.42
1.3127012252807617,1.12,9527.14
1.3250312805175781,1.12,9518.92
1.337183952331543,1.12,9510.71
1.3493125438690186,1.12,9525.09
1.3583652973175049,1.12,9510.71
1.3708562850952148,1.12,9537.42
1.3834710121154785,1.12,9541.54
1.395545482635498,1.12,9539.48
1.407688856124878,1.12,9553.88
1.4201369285583496,1.12,9553.88
1.432389259338379,1.12,9541.54
1.4447083473205566,1.12,9547.7
1.4569895267486572,1.12,9560.05
1.4689419269561768,1.12,9543.59
1.4808452129364014,1.12,9541.54
1.4929614067077637,1.12,9551.82
1.5019056797027588,1.12,9541.54
1.5130786895751953,1.12,9551.82
1.5266149044036865,1.12,9557.99
1.5388820171356201,1.12,9562.11
1.551133632659912,1.12,9570.35
1.5633797645568848,1.12,9570.35
1.5757617950439453,1.12,9549.76
1.5879597663879395,1.12,9557.99
1.6001965999603271,1.12,9549.76
1.6117055416107178,1.12,9560.05
1.6235909461975098,1.12,9553.88
1.6357238292694092,1.12,9555.94
1.6444766521453857,1.12,9555.94
1.6567339897155762,1.12,9557.99
1.6690821647644043,1.12,9549.76
1.6813318729400635,1.12,9560.05
1.6937007904052734,1.12,9564.17
1.7059152126312256,1.12,9570.35
1.718552589416504,1.12,9557.99
1.7312955856323242,1.12,9578.59
1.7434964179992676,1.12,9557.99
1.7555534839630127,1.12,9568.29
1.7673742771148682,1.12,9564.17
1.779310941696167,1.12,9560.05
1.7888550758361816,1.12,9555.94
1.8010947704315186,1.12,9555.94
1.813417673110962,1.12,9555.94
1.8256840705871582,1.12,9555.94
1.8378500938415527,1.12,9560.05
1.8505358695983887,1.12,9557.99
1.8624358177185059,1.12,9557.99
1.8747210502624512,1.12,9560.05
1.8867907524108887,1.12,9564.17
1.898822546005249,1.12,9555.94
1.910628318786621,1.12,9568.29
1.9196908473968506,1.12,9560.05
1.9321203231811523,1.12,9574.46
1.9444301128387451,1.12,9568.29
1.956585168838501,1.12,9557.99
1.968979835510254,1.12,9570.35
1.981177568435669,1.13,9582.7
1.993589162826538,1.13,9582.7
2.0056798458099365,1.13,9588.89
2.0171058177948,1.13,9593.01
2.029184341430664,1.13,9601.26
2.041630744934082,1.13,9601.26
2.0537972450256348,1.13,9605.38
2.062506675720215,1.13,9597.13
2.075227737426758,1.13,9609.51
2.0868113040924072,1.13,9601.26
2.0991108417510986,1.13,9605.38
2.111502170562744,1.13,9609.51
2.123934507369995,1.13,9613.64
2.1366703510284424,1.13,9615.7
2.1491739749908447,1.13,9626.02
2.1603176593780518,1.13,9613.64
2.172563314437866,1.13,9613.64
2.1849398612976074,1.13,9613.64
2.1971373558044434,1.13,9613.64
2.2061960697174072,1.13,9613.64
2.21844482421875,1.13,9609.51
2.2307286262512207,1.13,9619.83
2.2421703338623047,1.13,9621.89
2.2544243335723877,1.13,9613.64
2.2667250633239746,1.13,9605.38
2.2791292667388916,1.13,9599.2
2.2912936210632324,1.13,9603.32
2.3038442134857178,1.13,9609.51
2.3158764839172363,1.13,9599.2
2.3279385566711426,1.13,9605.38
2.3401033878326416,1.13,9590.95
2.3486554622650146,1.13,9593.01
2.3608908653259277,1.13,9590.95
2.373213529586792,1.13,9597.13
2.3855319023132324,1.13,9590.95
2.3977062702178955,1.13,9588.89
2.410047769546509,1.13,9586.83
2.422309398651123,1.12,9576.52
2.434587001800537,1.12,9572.41
2.4467971324920654,1.12,9570.35
2.4594366550445557,1.13,9584.77
2.4715874195098877,1.13,9582.7
2.4798519611358643,1.12,9568.29
2.492290496826172,1.12,9568.29
2.504653215408325,1.13,9586.83
2.517047643661499,1.13,9586.83
2.529391288757324,1.13,9615.7
2.542370319366455,1.13,9599.2
2.5547025203704834,1.13,9595.07
2.567035675048828,1.13,9593.01
2.5791313648223877,1.13,9597.13
2.5911405086517334,1.13,9599.2
2.6030123233795166,1.13,9597.13
2.614899158477783,1.13,9584.77
2.623478412628174,1.13,9590.95
2.6354777812957764,1.13,9601.26
2.647934913635254,1.13,9599.2
2.6602556705474854,1.13,9601.26
2.672522783279419,1.13,9588.89
2.6846933364868164,1.13,9597.13
2.6980204582214355,1.13,9593.01
2.7102997303009033,1.13,9590.95
2.722426652908325,1.13,9603.32
2.7343413829803467,1.13,9613.64
2.7464683055877686,1.13,9609.51
2.7584996223449707,1.13,9586.83
2.767829418182373,1.13,9590.95
2.7799530029296875,1.13,9599.2
2.792198657989502,1.13,9601.26
2.8044261932373047,1.13,9593.01
2.81691837310791,1.13,9590.95
2.8282055854797363,1.13,9603.32
2.8404953479766846,1.13,9590.95
2.852858066558838,1.13,9590.95
2.8650760650634766,1.13,9605.38
2.877648115158081,1.13,9613.64
2.889742851257324,1.13,9605.38
2.9015660285949707,1.13,9605.38
2.91104793548584,1.13,9607.45
2.9232516288757324,1.13,9603.32
2.935408353805542,1.13,9593.01
2.947767972946167,1.13,9595.07
2.9602785110473633,1.13,9582.7
2.9722983837127686,1.13,9588.89
2.9847145080566406,1.13,9599.2
2.9969959259033203,1.13,9603.32
3.008979320526123,1.13,9601.26
3.021061897277832,1.13,9601.26
3.032926321029663,1.13,9597.13
3.0420174598693848,1.13,9609.51
3.0542523860931396,1.13,9595.07
3.066680431365967,1.12,9578.59
3.078950881958008,1.12,9568.29
3.0911362171173096,1.12,9572.41
3.103365421295166,1.12,9578.59
3.1158461570739746,1.12,9578.59
3.1281578540802,1.13,9582.7
3.140437364578247,1.13,9582.7
3.1522390842437744,1.13,9588.89
3.163696527481079,1.13,9584.77
3.176053524017334,1.13,9590.95
3.1844093799591064,1.13,9601.26
3.196913242340088,1.13,9601.26
3.2094900608062744,1.13,9617.76
3.2219555377960205,1.13,9599.2
3.234179735183716,1.13,9588.89
3.2456417083740234,1.13,9607.45
3.257941246032715,1.13,9597.13
3.270224094390869,1.13,9599.2
3.2826144695281982,1.13,9590.95
3.294633626937866,1.13,9597.13
3.306999921798706,1.13,9605.38
3.3193914890289307,1.13,9595.07
3.328181505203247,1.13,9590.95
3.3407647609710693,1.13,9590.95
3.353346347808838,1.13,9590.95
3.365560293197632,1.13,9588.89
3.377878189086914,1.12,9570.35
3.3902218341827393,1.12,9578.59
3.4023406505584717,1.13,9588.89
3.4147346019744873,1.13,9582.7
3.4269180297851562,1.13,9590.95
3.4389119148254395,1.12,9578.59
3.450852632522583,1.13,9611.57
3.462702989578247,1.13,9593.01
3.472041130065918,1.13,9588.89
3.4845049381256104,1.13,9615.7
3.496661424636841,1.13,9605.38
3.509060859680176,1.13,9636.35
3.5213308334350586,1.13,9630.15
3.5334460735321045,1.13,9609.51
3.5447001457214355,1.13,9617.76
3.5570170879364014,1.13,9603.32
3.5691604614257812,1.13,9613.64
3.581347942352295,1.13,9599.2
3.593843936920166,1.13,9595.07
3.6020116806030273,1.13,9590.95
3.614208221435547,1.13,9593.01
3.6268813610076904,1.13,9607.45
3.6391491889953613,1.13,9599.2
3.6513726711273193,1.13,9597.13
3.663604736328125,1.13,9599.2
3.6762168407440186,1.13,9593.01
3.6888933181762695,1.13,9603.32
3.7014920711517334,1.13,9588.89
3.7134013175964355,1.13,9588.89
3.725360631942749,1.13,9588.89
3.737368106842041,1.13,9603.32
3.7463841438293457,1.13,9613.64
3.7588701248168945,1.13,9601.26
3.7711715698242188,1.13,9609.51
3.7834296226501465,1.13,9607.45
3.795677661895752,1.13,9599.2
3.807968854904175,1.13,9607.45
3.8202366828918457,1.13,9586.83
3.832453727722168,1.13,9611.57
3.8448243141174316,1.13,9634.28
3.856753349304199,1.13,9613.64
3.868574619293213,1.13,9626.02
3.880681037902832,1.13,9632.22
3.8898754119873047,1.13,9632.22
3.9022042751312256,1.13,9623.96
3.9145922660827637,1.13,9626.02
3.926771640777588,1.13,9621.89
3.9389736652374268,1.13,9613.64
3.9514870643615723,1.13,9623.96
3.963486671447754,1.13,9630.15
3.975982666015625,1.13,9619.83
3.9879472255706787,1.13,9626.02
3.999978542327881,1.13,9626.02
4.011827707290649,1.13,9630.15
4.020840644836426,1.13,9626.02
4.03326678276062,1.13,9638.41
4.0455405712127686,1.13,9650.81
4.057813405990601,1.13,9640.48
4.070038318634033,1.13,9646.68
4.082207918167114,1.13,9634.28
4.094698905944824,1.13,9638.41
4.106932878494263,1.13,9630.15
4.119426012039185,1.13,9621.89
4.131253480911255,1.13,9628.09
4.1431519985198975,1.13,9626.02
4.154936790466309,1.13,9611.57
4.164210796356201,1.13,9626.02
4.176628589630127,1.13,9623.96
4.188880205154419,1.13,9628.09
4.201075553894043,1.13,9623.96
4.212604522705078,1.13,9632.22
4.224727153778076,1.13,9632.22
4.236897706985474,1.13,9619.83
4.249051094055176,1.13,9628.09
4.2614428997039795,1.13,9628.09
4.273577451705933,1.13,9623.96
4.2858147621154785,1.13,9628.09
4.298011779785156,1.13,9626.02
4.306666135787964,1.13,9642.55
4.319196701049805,1.13,9644.61
4.3317718505859375,1.13,9634.28
4.34454607963562,1.13,9638.41
4.356808423995972,1.13,9632.22
4.369194984436035,1.13,9642.55
4.38132119178772,1.13,9636.35
4.393726110458374,1.13,9636.35
4.405715227127075,1.13,9648.75
4.4178431034088135,1.13,9638.41
4.429700613021851,1.13,9644.61
4.438710689544678,1.13,9642.55
4.451231241226196,1.13,9640.48
4.463249444961548,1.13,9657.01
4.475569486618042,1.13,9632.22
4.487874984741211,1.13,9646.68
4.500042915344238,1.13,9644.61
4.512441873550415,1.13,9659.08
4.52477240562439,1.13,9644.61
4.536941766738892,1.13,9638.41
4.549021005630493,1.13,9650.81
4.5609869956970215,1.13,9646.68
4.572899580001831,1.13,9646.68
