Time (s),Voltage (V),Resistance (Ohm)
0.0015630722045898438,2.79,41635.31
0.002884387969970703,2.79,41628.98
0.0042684078216552734,2.79,41635.31
0.0054683685302734375,2.79,41641.64
0.00661778450012207,2.79,41616.32
0.007755756378173828,2.79,41635.31
0.009158611297607422,2.79,41628.98
0.01030874252319336,2.79,41628.98
0.011445999145507812,2.79,41635.31
0.012583017349243164,2.79,41622.65
0.013712644577026367,2.79,41628.98
0.014849424362182617,2.79,41666.97
0.015981197357177734,2.79,41641.64
0.01711106300354004,2.79,41660.63
0.018233537673950195,2.79,41628.98
0.021641969680786133,2.79,41641.64
0.022840499877929688,2.79,41635.31
0.02392864227294922,2.79,41616.32
0.0250701904296875,2.79,41641.64
0.026359081268310547,2.79,41641.64
0.027499914169311523,2.79,41635.31
0.028596878051757812,2.79,41635.31
0.029690980911254883,2.79,41635.31
0.030780553817749023,2.79,41622.65
0.03186774253845215,2.79,41666.97
0.0330960750579834,2.79,41641.64
0.03419780731201172,2.79,41641.64
0.035295724868774414,2.79,41647.96
0.03638148307800293,2.79,41635.31
0.037461280822753906,2.79,41641.64
0.038541316986083984,2.79,41622.65
0.03962135314941406,2.79,41622.65
0.04070782661437988,2.79,41628.98
0.04185891151428223,2.79,41635.31
0.04297137260437012,2.79,41628.98
0.04406428337097168,2.79,41635.31
0.045264482498168945,2.79,41616.32
0.04636645317077637,2.79,41635.31
0.04745149612426758,2.79,41660.63
0.048542022705078125,2.79,41647.96
0.04963111877441406,2.79,41654.3
0.050722360610961914,2.79,41635.31
0.05185723304748535,2.79,41628.98
0.05295372009277344,2.79,41641.64
0.05414938926696777,2.79,41628.98
0.05524873733520508,2.79,41616.32
0.058359622955322266,2.79,41628.98
0.07017397880554199,2.79,41610.0
0.08234667778015137,2.79,41635.31
0.09463858604431152,2.79,41641.64
0.1033320426940918,2.79,41635.31
0.11616230010986328,2.79,41660.63
0.12836837768554688,2.79,41660.63
0.14074063301086426,2.79,41635.31
0.1529405117034912,2.79,41660.63
0.1652214527130127,2.79,41622.65
0.17737674713134766,2.79,41622.65
0.18974614143371582,2.79,41635.31
0.20358800888061523,2.79,41635.31
0.21442055702209473,2.79,41635.31
0.22619342803955078,2.79,41628.98
0.23815512657165527,2.79,41635.31
0.24991559982299805,2.79,41622.65
0.2584540843963623,2.79,41628.98
0.27075982093811035,2.79,41660.63
0.283003568649292,2.79,41654.3
0.2954888343811035,2.79,41628.98
0.3076920509338379,2.79,41635.31
