Time (s),Voltage (V),Resistance (Ohm)
0.0014312267303466797,0.58,35229.39
0.0027015209197998047,2.64,36865.3
0.0036809444427490234,2.59,35446.98
0.0039670467376708984,2.63,36638.62
0.004246711730957031,2.61,36108.14
0.004540681838989258,2.6,35816.31
0.0048139095306396484,2.64,37020.96
0.005084991455078125,2.62,36396.98
0.0053577423095703125,2.64,36959.72
0.005630016326904297,2.63,36561.55
0.005899190902709961,2.61,36032.24
0.006169557571411133,2.65,37261.35
0.006440401077270508,2.62,36342.3
0.006712675094604492,2.65,37244.52
0.006982564926147461,2.63,36732.42
0.007252931594848633,2.61,35913.31
0.01586627960205078,2.66,37463.89
0.01615619659423828,2.62,36238.64
0.01642608642578125,2.65,37071.14
0.01669025421142578,2.62,36407.93
0.01695537567138672,2.6,35703.48
0.01721954345703125,2.65,37311.87
0.017485380172729492,2.6,35692.76
0.017749309539794922,2.64,36887.49
0.018014907836914062,2.62,36424.35
0.018278837203979492,2.59,35420.37
0.018543720245361328,2.66,37650.57
0.018810272216796875,2.57,34861.09
0.01907491683959961,2.54,33947.31
0.019341468811035156,2.56,34496.74
0.019605398178100586,2.54,34044.21
0.019868850708007812,2.58,35234.69
0.020132780075073242,2.57,35013.19
0.020397663116455078,2.61,36005.18
0.02066349983215332,2.56,34714.88
0.02092742919921875,2.55,34481.22
0.021193742752075195,2.61,35978.13
0.021459102630615234,2.6,35623.12
0.02172398567199707,2.64,36904.15
0.021988391876220703,2.61,35907.91
0.022253990173339844,2.58,35107.94
0.022518157958984375,2.62,36424.35
0.022782087326049805,2.6,35805.55
0.02304553985595703,2.63,36765.6
0.023308753967285156,2.6,35703.48
0.028889894485473633,2.58,35171.26
0.0412135124206543,2.62,36429.83
0.05358004570007324,2.55,34393.36
0.06590127944946289,2.57,34997.42
0.07822728157043457,2.6,35762.54
0.09067630767822266,2.57,34876.79
0.10331439971923828,2.62,36380.57
0.11469793319702148,2.56,34647.21
0.12718582153320312,2.62,36309.53
0.139357328414917,2.6,35730.31
0.1518537998199463,2.57,35007.93
0.1639406681060791,2.61,36053.91
0.176055908203125,2.58,35165.97
0.1854085922241211,2.62,36287.7
0.19747018814086914,2.6,35810.92
0.2096567153930664,2.57,34939.68
0.22231793403625488,2.6,35708.84
0.23453378677368164,2.59,35356.59
0.2468564510345459,2.64,36793.26
0.2590303421020508,2.6,35649.88
0.2712883949279785,2.58,35086.87
0.28374576568603516,2.6,35784.03
0.2955334186553955,2.58,35144.85
0.30765819549560547,2.62,36462.71
0.3198282718658447,2.59,35596.37
0.3318445682525635,2.55,34244.01
0.3408539295196533,2.58,35319.44
0.3533344268798828,2.54,34105.57
0.36563777923583984,2.61,36140.72
0.37766051292419434,2.57,34855.86
0.38992977142333984,2.54,34192.67
0.40229010581970215,2.56,34579.67
0.41358447074890137,2.52,33507.12
0.42601776123046875,2.59,35351.28
0.43828892707824707,2.56,34683.63
0.45055055618286133,2.53,33830.37
0.46297478675842285,2.57,34782.69
0.47518062591552734,2.53,33718.89
0.48714613914489746,2.61,35972.72
0.4961421489715576,2.56,34725.3
0.5081274509429932,2.52,33612.84
0.5205860137939453,2.56,34574.48
0.5335478782653809,2.55,34244.01
0.5458168983459473,2.61,36059.33
0.557971715927124,2.57,34808.8
0.5702590942382812,2.55,34377.88
0.5826985836029053,2.57,34782.69
0.5949854850769043,2.52,33582.6
0.607121467590332,2.61,35951.11
0.6185417175292969,2.56,34533.0
0.6309638023376465,2.55,34476.04
0.6431291103363037,2.56,34683.63
0.6550865173339844,2.53,33779.65
0.6641921997070312,2.61,36140.72
0.6768603324890137,2.57,34939.68
0.68914794921875,2.56,34517.46
0.7015135288238525,2.59,35356.59
0.7138090133666992,2.54,34161.9
0.7259275913238525,2.62,36435.31
0.7382180690765381,2.59,35542.94
0.750450849533081,2.57,34882.03
0.7628846168518066,2.59,35377.84
0.7748193740844727,2.55,34367.56
0.7869522571563721,2.64,36782.19
0.7991347312927246,2.59,35574.99
0.8110284805297852,2.55,34445.01
0.820145845413208,2.6,35623.12
0.8322618007659912,2.56,34512.28
0.844879150390625,2.63,36655.15
0.8569605350494385,2.59,35468.28
