Time (s),Voltage (V),Resistance (Ohm)
0.0005728999967686832,3.28,63125.83
0.0009156000160146505,3.28,63146.84
0.0011845999979414046,3.28,63073.37
0.0014421000087168068,3.29,63273.06
0.0016978000057861209,3.28,63073.37
0.0019508000114001334,3.28,63104.83
0.002202900010161102,3.28,63094.35
0.002453399996738881,3.28,63094.35
0.0027049999916926026,3.28,63104.83
0.0029547000012826174,3.28,63104.83
0.0032075000053737313,3.28,63094.35
0.003458199993474409,3.28,63073.37
0.003709500015247613,3.28,63125.83
0.003961300011724234,3.28,63125.83
0.004212100000586361,3.28,63094.35
0.0120660999964457,3.28,63094.35
0.012319300003582612,3.29,63252.0
0.012567300000227988,3.28,63178.36
0.01281290000770241,3.28,63178.36
0.013058400014415383,3.28,63136.34
0.013301600003615022,3.28,63125.83
0.013545900001190603,3.28,63041.91
0.013788400014163926,3.28,63136.34
0.014031900005647913,3.28,63178.36
0.014274699991801754,3.28,63115.34
0.014518000010866672,3.29,63283.6
0.01475969998864457,3.28,63052.39
0.015003300009993836,3.28,63157.35
0.015244999987771735,3.28,63052.39
0.015489100012928247,3.28,63073.37
0.015730599989183247,3.28,63115.34
0.01599539999733679,3.29,63378.51
0.016239299991866574,3.28,63157.35
0.01647840000805445,3.28,63146.84
0.01672159999725409,3.28,63136.34
0.016964899987215176,3.28,63073.37
0.017219800007296726,3.28,63146.84
0.017495400010375306,3.28,63146.84
0.01776730001438409,3.28,63188.88
0.01802240000688471,3.28,63157.35
0.018273199995746836,3.28,63041.91
0.018523700011428446,3.28,63199.39
0.018770900001982227,3.28,63157.35
0.019020300009287894,3.28,63157.35
0.01926669999375008,3.29,63262.53
0.01951589999953285,3.29,63241.48
0.019762699987040833,3.28,63188.88
0.02001040001050569,3.28,63178.36
0.02025649999268353,3.28,63136.34
0.020504699990851805,3.29,63209.92
0.02075130000594072,3.29,63220.43
0.020999800006393343,3.28,63136.34
0.021245799987809733,3.28,63167.86
0.02150550001533702,3.28,63167.86
0.021746000013081357,3.28,63157.35
0.02198849999695085,3.29,63230.96
0.02222990000154823,3.28,63178.36
0.022472500015283003,3.28,63167.86
0.02272350000566803,3.29,63273.06
0.022966699994867668,3.29,63283.6
0.023207099991850555,3.28,63188.88
0.023451399989426136,3.29,63336.3
0.023691800015512854,3.29,63209.92
0.02393369999481365,3.28,63188.88
0.024173200014047325,3.28,63178.36
0.02441529999487102,3.29,63262.53
0.024651599989738315,3.29,63273.06
0.024892000015825033,3.29,63252.0
0.02513369999360293,3.29,63241.48
0.02537409999058582,3.29,63252.0
0.025629400013713166,3.29,63220.43
0.025872400001389906,3.29,63241.48
0.026116900000488386,3.29,63315.21
0.02635800000280142,3.29,63410.18
0.02666299999691546,3.28,63199.39
0.026973600004566833,3.29,63336.3
0.027216399990720674,3.29,63315.21
0.027459600009024143,3.29,63252.0
0.027699400001438335,3.29,63241.48
0.027940700005274266,3.28,63157.35
0.028180699999211356,3.28,63199.39
0.028435899992473423,3.28,62989.53
0.028670900006545708,3.28,63125.83
0.02890770000522025,3.28,63062.88
0.029141400009393692,3.28,63125.83
0.02937730000121519,3.29,63241.48
0.02961160000995733,3.28,63094.35
0.029846599994925782,3.29,63209.92
0.03008389999740757,3.29,63230.96
0.030318900011479855,3.28,63157.35
0.030557499994756654,3.28,62968.59
0.030791400000452995,3.28,63052.39
0.031028099998366088,3.28,63178.36
0.03126350001548417,3.29,63209.92
0.03151950001483783,3.28,63188.88
0.03175960000953637,3.28,63094.35
0.03200129998731427,3.28,63083.86
0.0322401000012178,3.28,63157.35
0.032481800008099526,3.28,63083.86
0.03271669999230653,3.28,63146.84
0.032957599993096665,3.28,63178.36
0.03319570000167005,3.28,63052.39
0.03343700000550598,3.28,63104.83
0.03367710000020452,3.28,63115.34
0.03391950001241639,3.28,63104.83
0.03415990000939928,3.28,63094.35
0.03441349999047816,3.28,63010.48
0.03464689999236725,3.28,63146.84
0.034882400010246783,3.28,63157.35
0.03511699999216944,3.28,63104.83
0.03535290001309477,3.28,63136.34
0.03558699999121018,3.28,63031.42
0.03582540000206791,3.29,63241.48
0.03605910000624135,3.28,63125.83
0.03632899999502115,3.29,63241.48
0.03656800001044758,3.28,63157.35
0.03680780000286177,3.28,63167.86
0.037043799995444715,3.28,63125.83
0.037279400014085695,3.28,63146.84
0.03751729999203235,3.28,63188.88
0.037753500015242025,3.28,63199.39
0.037990699987858534,3.28,63167.86
0.03822570000193082,3.28,63167.86
0.03846280000288971,3.29,63230.96
0.03869789998861961,3.29,63252.0
0.038935799995670095,3.28,63199.39
0.03917169998749159,3.29,63209.92
0.03940939999301918,3.29,63252.0
0.03964380000252277,3.28,63125.83
0.039881200005766004,3.28,63125.83
0.04011699999682605,3.28,63125.83
0.040353499993216246,3.29,63209.92
0.040583399997558445,3.28,63073.37
0.04081989999394864,3.28,63083.86
0.04105379999964498,3.28,63083.86
0.04129120000288822,3.28,63125.83
0.04153630000655539,3.29,63294.13
0.0417678999947384,3.29,63252.0
0.041998500004410744,3.28,63146.84
0.04222860001027584,3.29,63241.48
0.04248490001191385,3.29,63241.48
0.042717100004665554,3.28,63199.39
0.0429498000012245,3.28,63167.86
0.04318040001089685,3.28,63188.88
0.043429400015156716,3.28,63136.34
0.043665000004693866,3.28,63178.36
0.04390270001022145,3.28,63062.88
0.044137799995951355,3.28,63136.34
0.04437580000376329,3.29,63241.48
0.04461139999330044,3.28,63199.39
0.04484839999349788,3.28,63199.39
0.045083000004524365,3.28,63146.84
0.0453212000138592,3.28,63188.88
0.04556570001295768,3.28,63199.39
0.04586800001561642,3.29,63220.43
0.04610020000836812,3.29,63209.92
0.046346699993591756,3.29,63241.48
0.0465828999876976,3.28,63146.84
0.04689840000355616,3.28,63136.34
0.04713429999537766,3.28,63157.35
0.0473716999986209,3.28,63094.35
0.04760690001421608,3.28,63199.39
0.04784410001593642,3.29,63220.43
0.04807980000623502,3.28,63199.39
0.048315799998817965,3.28,63146.84
0.04854620000696741,3.28,63146.84
0.048782800004119053,3.29,63399.63
0.049018099991371855,3.29,63209.92
0.04925740000908263,3.29,63262.53
0.04949279999709688,3.29,63273.06
0.04972959999577142,3.28,63167.86
0.049964800011366606,3.28,63115.34
0.0502017000108026,3.29,63252.0
0.05043830000795424,3.29,63241.48
0.05067379999672994,3.29,63283.6
0.05091200000606477,3.29,63252.0
0.05114769999636337,3.29,63304.68
0.05139830001280643,3.29,63357.4
0.05162949999794364,3.29,63346.84
0.05186159998993389,3.29,63431.32
0.05209139999351464,3.29,63420.74
0.05232389998855069,3.29,63346.84
0.05255399999441579,3.29,63420.74
0.05278520000865683,3.29,63389.06
0.05301619999227114,3.29,63473.6
0.05324889998883009,3.29,63515.92
0.05347859999164939,3.29,63526.51
0.05370990000665188,3.29,63484.17
0.053938700002618134,3.29,63558.28
0.05417039999156259,3.29,63441.88
0.05440019999514334,3.29,63537.09
0.05462959999567829,3.29,63526.51
0.05486120001296513,3.29,63357.4
0.05509169999277219,3.29,63526.51
0.055323900014627725,3.29,63558.28
0.05555320001440123,3.29,63537.09
0.05578389999573119,3.29,63505.34
0.05601339999702759,3.29,63547.69
0.056239700003061444,3.29,63600.69
0.0564687000005506,3.29,63484.17
0.05674590001581237,3.29,63463.02
0.05701109999790788,3.29,63494.75
0.05724359999294393,3.29,63463.02
0.05770900001516566,3.29,63452.46
0.058192299999063835,3.29,63357.4
0.05875269998796284,3.29,63494.75
0.05912200000602752,3.29,63515.92
0.059380399994552135,3.29,63611.28
0.059624899993650615,3.29,63431.32
0.05986390000907704,3.29,63515.92
0.060103499999968335,3.29,63537.09
0.060342000011587515,3.29,63473.6
0.06057719999807887,3.29,63389.06
0.060816100012743846,3.29,63463.02
0.06106579999323003,3.29,63431.32
0.0613090000115335,3.29,63515.92
0.06155039998702705,3.29,63346.84
0.061794200009899214,3.29,63547.69
0.06203380000079051,3.29,63473.6
0.062276999989990145,3.29,63494.75
0.06251720001455396,3.29,63600.69
0.06276030000299215,3.3,63781.29
0.06300180000835098,3.29,63367.95
0.06324560000211932,3.29,63547.69
0.063486400002148,3.29,63547.69
0.06373200000962242,3.29,63494.75
0.06397479999577627,3.29,63452.46
0.06421700000646524,3.29,63494.75
0.06445689999964088,3.29,63463.02
0.06470019998960197,3.29,63441.88
0.06494030001340434,3.29,63463.02
0.06522170000243932,3.29,63463.02
0.06546750001143664,3.29,63484.17
0.06571120000444353,3.29,63526.51
0.06595250000827946,3.29,63515.92
0.0661954999959562,3.29,63526.51
0.06644739999319427,3.29,63547.69
0.06676929999957792,3.29,63410.18
0.06700040001305752,3.29,63431.32
0.06723360001342371,3.29,63346.84
0.06746409999323077,3.29,63420.74
0.06769689999055117,3.29,63494.75
0.06792830000631511,3.29,63389.06
0.06816090000211261,3.29,63315.21
0.0683914000110235,3.29,63378.51
0.06862430000910535,3.29,63389.06
0.06885469998815097,3.29,63515.92
0.06908680000924505,3.29,63664.34
0.0693191000027582,3.29,63336.3
0.0695514999970328,3.29,63431.32
0.06978210000670515,3.29,63441.88
0.07001240001409315,3.29,63378.51
0.0703104000131134,3.29,63431.32
0.07054960000095889,3.29,63399.63
0.0707811999891419,3.29,63367.95
0.07100960001116619,3.29,63357.4
0.07125949999317527,3.29,63389.06
