Time (s),Voltage (V),Resistance (Ohm)
0.0014913082122802734,2.75,40182.9
0.0027685165405273438,2.75,40219.44
0.003915548324584961,2.75,40219.44
0.004485607147216797,2.75,40170.74
0.004761219024658203,2.75,40188.99
0.005034685134887695,2.75,40201.16
0.005308389663696289,2.75,40176.82
0.005580902099609375,2.75,40182.9
0.005854129791259766,2.75,40188.99
0.006127595901489258,2.75,40213.35
0.0064008235931396484,2.75,40195.07
0.006673574447631836,2.75,40182.9
0.006947040557861328,2.75,40213.35
0.007220029830932617,2.75,40201.16
0.007493257522583008,2.75,40176.82
0.007767438888549805,2.75,40207.25
0.008656740188598633,2.75,40213.35
0.008966207504272461,2.75,40219.44
0.009242773056030273,2.75,40188.99
0.009511947631835938,2.75,40188.99
0.009779691696166992,2.75,40188.99
0.010045051574707031,2.75,40182.9
0.010311603546142578,2.75,40225.53
0.010579824447631836,2.75,40188.99
0.010845661163330078,2.75,40201.16
0.011113166809082031,2.75,40188.99
0.01137852668762207,2.75,40188.99
0.01164555549621582,2.75,40176.82
0.011911153793334961,2.75,40219.44
0.012176513671875,2.75,40188.99
0.01244211196899414,2.75,40219.44
0.01270747184753418,2.75,40195.07
0.012971639633178711,2.75,40201.16
0.013236045837402344,2.75,40176.82
0.013499975204467773,2.75,40188.99
0.013764142990112305,2.75,40213.35
0.014029264450073242,2.75,40201.16
0.014293670654296875,2.75,40182.9
0.014559745788574219,2.75,40195.07
0.014824390411376953,2.75,40188.99
0.015088081359863281,2.75,40207.25
0.01535344123840332,2.75,40201.16
0.015618324279785156,2.75,40219.44
0.021300315856933594,2.75,40231.62
0.03390812873840332,2.75,40195.07
0.046242713928222656,2.75,40207.25
0.05846285820007324,2.75,40207.25
0.07095623016357422,2.75,40182.9
0.08332610130310059,2.75,40195.07
0.09614133834838867,2.75,40176.82
0.10833930969238281,2.75,40182.9
0.12003231048583984,2.75,40201.16
0.13231992721557617,2.75,40182.9
0.14438986778259277,2.75,40170.74
0.15323209762573242,2.75,40182.9
0.16503119468688965,2.75,40219.44
0.17730712890625,2.75,40219.44
0.18929076194763184,2.75,40176.82
0.20178747177124023,2.75,40188.99
0.2141880989074707,2.75,40182.9
0.22721505165100098,2.75,40170.74
0.23831820487976074,2.75,40207.25
0.25092601776123047,2.75,40170.74
0.26328420639038086,2.75,40188.99
0.27562737464904785,2.74,40152.48
0.28800129890441895,2.74,40164.65
0.30007266998291016,2.74,40158.57
0.31200242042541504,2.74,40164.65
0.32140588760375977,2.75,40188.99
0.33364391326904297,2.75,40207.25
0.3460230827331543,2.75,40188.99
0.35812902450561523,2.75,40201.16
0.37032485008239746,2.75,40176.82
0.38283824920654297,2.74,40158.57
0.39450955390930176,2.74,40134.25
0.40667223930358887,2.74,40164.65
0.41874003410339355,2.75,40176.82
0.43146347999572754,2.75,40182.9
0.4438807964324951,2.75,40188.99
0.4557018280029297,2.74,40164.65
0.467883825302124,2.74,40152.48
0.4768705368041992,2.75,40188.99
0.48908233642578125,2.75,40195.07
0.5015811920166016,2.75,40207.25
0.513934850692749,2.75,40188.99
0.5260450839996338,2.75,40170.74
0.5373036861419678,2.74,40140.32
0.5495667457580566,2.75,40188.99
0.5619828701019287,2.75,40188.99
0.5742645263671875,2.75,40195.07
0.5865013599395752,2.74,40152.48
0.5989625453948975,2.75,40182.9
0.6111233234405518,2.75,40176.82
0.6234703063964844,2.75,40195.07
0.6320366859436035,2.75,40195.07
0.644829273223877,2.75,40195.07
0.6560981273651123,2.75,40219.44
0.6687955856323242,2.75,40219.44
0.6809661388397217,2.75,40195.07
0.6933434009552002,2.74,40164.65
0.7055873870849609,2.74,40164.65
0.7184207439422607,2.75,40176.82
0.7307040691375732,2.74,40152.48
0.743178129196167,2.75,40170.74
0.7554214000701904,2.75,40201.16
0.7673499584197998,2.74,40140.32
0.7794737815856934,2.74,40140.32
0.7913742065429688,2.75,40176.82
0.8006391525268555,2.75,40176.82
0.8129134178161621,2.75,40201.16
0.8251204490661621,2.75,40188.99
0.8374948501586914,2.74,40158.57
0.8499240875244141,2.75,40188.99
0.8619272708892822,2.75,40170.74
0.874190092086792,2.75,40170.74
0.8866291046142578,2.75,40195.07
0.8989889621734619,2.75,40188.99
0.9110515117645264,2.74,40164.65
0.922900915145874,2.74,40134.25
0.9343583583831787,2.74,40152.48
0.9465911388397217,2.74,40164.65
0.955054759979248,2.74,40146.41
0.9676239490509033,2.75,40201.16
0.9796450138092041,2.75,40188.99
0.9920358657836914,2.75,40195.07
1.0045218467712402,2.74,40164.65
1.0173704624176025,2.75,40176.82
1.0298662185668945,2.75,40176.82
1.04215407371521,2.75,40176.82
1.0546998977661133,2.74,40158.57
1.067014455795288,2.74,40164.65
1.078794002532959,2.74,40128.17
1.09074068069458,2.74,40158.57
1.1029102802276611,2.74,40164.65
1.114940881729126,2.74,40164.65
1.124086856842041,2.75,40195.07
1.136523962020874,2.75,40231.62
1.148897409439087,2.75,40176.82
1.1609385013580322,2.74,40164.65
1.1724069118499756,2.75,40170.74
1.184751272201538,2.75,40170.74
1.197211742401123,2.74,40146.41
1.2095580101013184,2.74,40164.65
1.2220005989074707,2.75,40170.74
1.2338778972625732,2.74,40164.65
1.2461507320404053,2.75,40176.82
1.258467197418213,2.74,40158.57
1.2703568935394287,2.74,40158.57
1.2794585227966309,2.74,40146.41
1.291724443435669,2.75,40207.25
1.304426670074463,2.75,40176.82
1.3166942596435547,2.75,40170.74
1.328981876373291,2.75,40170.74
1.3410062789916992,2.75,40188.99
1.3534870147705078,2.74,40152.48
1.3658616542816162,2.75,40170.74
1.3781108856201172,2.75,40170.74
1.390181541442871,2.74,40152.48
1.4022371768951416,2.74,40164.65
1.413804531097412,2.75,40170.74
1.42655611038208,2.74,40164.65
1.4386708736419678,2.75,40182.9
1.4477782249450684,2.75,40170.74
1.460108757019043,2.75,40207.25
1.4720745086669922,2.75,40213.35
1.4838097095489502,2.75,40188.99
1.4961919784545898,2.75,40201.16
1.5085399150848389,2.75,40170.74
1.5203611850738525,2.74,40152.48
1.5325827598571777,2.74,40152.48
1.545008659362793,2.75,40176.82
1.5572681427001953,2.74,40164.65
1.5695021152496338,2.74,40158.57
1.5816676616668701,2.74,40146.41
1.5941295623779297,2.74,40152.48
1.6062848567962646,2.74,40164.65
1.6150145530700684,2.75,40182.9
1.626966953277588,2.75,40188.99
1.640028953552246,2.75,40207.25
1.6522819995880127,2.74,40164.65
1.6645631790161133,2.74,40164.65
1.676750898361206,2.74,40158.57
1.68955659866333,2.74,40164.65
1.70145845413208,2.75,40170.74
1.7138752937316895,2.74,40164.65
1.7254316806793213,2.75,40195.07
1.7376124858856201,2.75,40170.74
1.7499194145202637,2.74,40152.48
1.7619013786315918,2.75,40170.74
1.7705297470092773,2.75,40170.74
1.7830216884613037,2.75,40201.16
1.7958805561065674,2.75,40188.99
1.808091163635254,2.75,40201.16
1.8205230236053467,2.74,40152.48
1.8328046798706055,2.74,40152.48
1.8449676036834717,2.74,40140.32
1.8570666313171387,2.74,40164.65
1.8694565296173096,2.75,40188.99
1.881589412689209,2.74,40164.65
1.893909215927124,2.74,40152.48
1.905932903289795,2.74,40164.65
1.9178924560546875,2.74,40164.65
1.9298415184020996,2.74,40158.57
1.9393277168273926,2.74,40164.65
1.9513282775878906,2.75,40176.82
1.963768482208252,2.74,40164.65
1.9759931564331055,2.74,40164.65
1.9885203838348389,2.74,40152.48
2.001002073287964,2.75,40176.82
2.0129685401916504,2.74,40164.65
2.025139570236206,2.75,40182.9
2.0375661849975586,2.74,40152.48
2.0496323108673096,2.75,40176.82
2.061635971069336,2.74,40140.32
2.0735676288604736,2.74,40152.48
2.0857841968536377,2.74,40140.32
2.0947604179382324,2.75,40170.74
2.107001781463623,2.75,40176.82
2.119518995285034,2.75,40176.82
2.1316146850585938,2.74,40146.41
2.1439216136932373,2.74,40152.48
2.1563339233398438,2.74,40152.48
2.1686763763427734,2.74,40158.57
2.179995536804199,2.74,40146.41
2.192335367202759,2.75,40182.9
2.2046687602996826,2.75,40188.99
2.2169950008392334,2.75,40170.74
2.229278564453125,2.74,40158.57
2.2413809299468994,2.75,40170.74
2.253530979156494,2.75,40170.74
2.261760711669922,2.74,40152.48
2.274251937866211,2.75,40182.9
2.286885976791382,2.74,40164.65
2.299501419067383,2.75,40182.9
2.3117144107818604,2.74,40146.41
2.3239059448242188,2.74,40146.41
2.3365657329559326,2.75,40176.82
2.3488409519195557,2.75,40170.74
2.3613710403442383,2.74,40140.32
2.373103618621826,2.75,40182.9
2.384535312652588,2.74,40128.17
2.3966524600982666,2.74,40158.57
2.4093306064605713,2.74,40146.41
2.418515205383301,2.74,40158.57
2.4307878017425537,2.75,40182.9
2.443035125732422,2.74,40158.57
2.455364227294922,2.74,40140.32
2.4664387702941895,2.75,40176.82
2.479109048843384,2.74,40146.41
2.4913833141326904,2.74,40164.65
2.5036725997924805,2.74,40164.65
2.5161070823669434,2.74,40164.65
2.528057098388672,2.74,40128.17
2.539970636367798,2.74,40158.57
2.5523202419281006,2.74,40152.48
2.5645864009857178,2.74,40158.57
2.576716184616089,2.74,40152.48
2.5852770805358887,2.74,40152.48
2.5975046157836914,2.74,40158.57
2.610112190246582,2.75,40170.74
2.622598171234131,2.75,40182.9
2.634921073913574,2.74,40128.17
2.647416830062866,2.74,40164.65
2.6598165035247803,2.75,40188.99
2.67240571975708,2.74,40152.48
2.683511257171631,2.74,40134.25
2.696122169494629,2.74,40164.65
2.70823335647583,2.74,40164.65
2.7205464839935303,2.74,40146.41
2.732748031616211,2.74,40164.65
2.741652250289917,2.74,40140.32
2.754244565963745,2.74,40164.65
2.766665458679199,2.74,40158.57
2.7787625789642334,2.74,40164.65
2.7909889221191406,2.75,40170.74
2.8035061359405518,2.74,40152.48
2.815748929977417,2.75,40188.99
2.828111171722412,2.74,40140.32
2.8395040035247803,2.74,40152.48
2.8519201278686523,2.74,40152.48
2.8641562461853027,2.74,40152.48
2.876356363296509,2.74,40152.48
2.8886635303497314,2.74,40152.48
2.9005792140960693,2.74,40109.94
2.9098563194274902,2.74,40140.32
2.9221508502960205,2.74,40164.65
2.9344258308410645,2.74,40164.65
2.9468793869018555,2.74,40146.41
2.9591317176818848,2.74,40140.32
2.9712400436401367,2.74,40140.32
2.9836690425872803,2.74,40134.25
2.9960625171661377,2.74,40164.65
3.00832462310791,2.74,40122.09
3.0204579830169678,2.75,40188.99
3.0324196815490723,2.74,40134.25
3.044401168823242,2.74,40134.25
3.0562119483947754,2.74,40152.48
3.065795660018921,2.74,40140.32
3.0781188011169434,2.75,40170.74
3.0903170108795166,2.75,40170.74
3.1025631427764893,2.74,40152.48
3.114833116531372,2.74,40152.48
3.127102851867676,2.74,40128.17
3.1391077041625977,2.74,40146.41
3.1516923904418945,2.74,40134.25
3.1638588905334473,2.74,40140.32
3.176054000854492,2.74,40103.87
3.1875669956207275,2.74,40116.02
3.199676036834717,2.74,40146.41
3.212017774581909,2.74,40140.32
3.2204654216766357,2.75,40176.82
3.2329514026641846,2.75,40176.82
3.2458536624908447,2.74,40164.65
3.258047103881836,2.74,40164.65
3.270111083984375,2.74,40152.48
3.2825772762298584,2.74,40103.87
3.2949635982513428,2.74,40140.32
