Time (s),Voltage (V),Resistance (Ohm)
0.0013930797576904297,2.26,27312.53
0.002804994583129883,2.26,27300.13
0.003582477569580078,2.26,27267.09
0.003860950469970703,2.26,27262.97
0.004134654998779297,2.26,27267.09
0.0044097900390625,2.26,27246.46
0.0046880245208740234,2.26,27250.59
0.004963397979736328,2.26,27250.59
0.005237102508544922,2.26,27238.21
0.005511760711669922,2.26,27246.46
0.005879640579223633,2.26,27238.21
0.006169557571411133,2.26,27250.59
0.0064470767974853516,2.26,27246.46
0.006727933883666992,2.26,27254.72
0.007007598876953125,2.26,27258.84
0.007283210754394531,2.26,27238.21
0.007558345794677734,2.26,27254.72
0.007833480834960938,2.26,27267.09
0.00810694694519043,2.26,27242.34
0.008381366729736328,2.26,27234.09
0.008656501770019531,2.26,27225.85
0.008929729461669922,2.26,27225.85
0.00920414924621582,2.26,27234.09
0.009485960006713867,2.26,27229.97
0.00975346565246582,2.26,27229.97
0.01002049446105957,2.26,27221.73
0.010288715362548828,2.26,27201.13
0.010557413101196289,2.26,27217.61
0.010823488235473633,2.26,27225.85
0.011089801788330078,2.26,27221.73
0.011357545852661133,2.26,27225.85
0.011625289916992188,2.26,27209.37
0.011892080307006836,2.26,27217.61
0.012179374694824219,2.26,27213.49
0.012446880340576172,2.26,27201.13
0.012713909149169922,2.26,27197.01
0.012981176376342773,2.26,27221.73
0.013247013092041016,2.26,27229.97
0.013514280319213867,2.26,27225.85
0.013781070709228516,2.26,27234.09
0.01404714584350586,2.26,27246.46
0.014313936233520508,2.26,27258.84
0.014581680297851562,2.26,27242.34
0.01659846305847168,2.26,27234.09
0.02888655662536621,2.26,27238.21
0.04123091697692871,2.26,27234.09
0.05369734764099121,2.26,27258.84
0.06624102592468262,2.26,27254.72
0.07871174812316895,2.26,27242.34
0.09077119827270508,2.26,27254.72
0.10286903381347656,2.26,27238.21
0.11491727828979492,2.26,27258.84
0.12407875061035156,2.26,27262.97
0.1364600658416748,2.26,27291.87
0.14862990379333496,2.26,27287.74
0.16095662117004395,2.26,27271.22
0.1733410358428955,2.26,27279.48
0.18561863899230957,2.26,27279.48
0.19779133796691895,2.26,27283.61
0.20986080169677734,2.26,27308.39
0.22244048118591309,2.26,27308.39
0.23461627960205078,2.27,27329.07
0.24670171737670898,2.27,27349.76
0.2585887908935547,2.26,27308.39
0.27068257331848145,2.27,27337.34
0.2823143005371094,2.27,27329.07
0.29148364067077637,2.27,27329.07
0.3034701347351074,2.26,27324.93
0.3156306743621826,2.26,27320.8
0.3279082775115967,2.26,27320.8
0.3401780128479004,2.26,27296.0
0.35286688804626465,2.27,27333.2
0.36546945571899414,2.26,27320.8
0.37807703018188477,2.26,27296.0
0.39006924629211426,2.26,27316.66
0.4023115634918213,2.26,27308.39
0.41422438621520996,2.26,27316.66
0.42627406120300293,2.26,27304.26
0.43544435501098633,2.26,27308.39
0.4476509094238281,2.26,27320.8
0.45987772941589355,2.27,27333.2
0.47222232818603516,2.27,27345.62
