Time (s),Voltage (V),Resistance (Ohm)
0.0005035400390625,4.15,162179.64
0.00092315673828125,4.16,162352.96
0.001264333724975586,4.16,162309.62
0.0015690326690673828,4.16,162266.32
0.0018782615661621094,4.16,162396.32
0.002168416976928711,4.16,162266.32
0.002460956573486328,4.16,162526.6
0.002748727798461914,4.16,162570.04
0.0030384063720703125,4.16,162352.96
0.003320455551147461,4.16,162526.6
0.00360870361328125,4.15,161963.43
0.0038917064666748047,4.15,162093.14
0.004175662994384766,4.15,161920.28
0.0044708251953125,4.15,161963.43
0.004769325256347656,4.15,161790.79
0.00505375862121582,4.15,161877.14
0.005509853363037109,4.15,161920.28
0.005789518356323242,4.15,161877.14
0.00606846809387207,4.15,161877.14
0.006346225738525391,4.15,162093.14
0.006623029708862305,4.15,161833.89
0.006906747817993164,4.15,162006.6
0.00717926025390625,4.15,161704.64
0.007451295852661133,4.16,162266.32
0.007725238800048828,4.16,162266.32
0.008008241653442383,4.15,162006.6
0.008283615112304688,4.15,161963.43
0.008554697036743164,4.15,162049.93
0.008826732635498047,4.15,161833.89
0.009115934371948242,4.15,162093.14
0.009411334991455078,4.15,161704.64
0.009700775146484375,4.15,161920.28
0.009980201721191406,4.15,161747.71
0.01026463508605957,4.15,161790.79
0.01055908203125,4.15,161704.64
0.010867595672607422,4.15,161618.46
0.011150360107421875,4.15,161833.89
0.011520862579345703,4.15,161833.89
0.01184535026550293,4.15,161747.71
0.012188434600830078,4.15,162179.64
0.012473106384277344,4.15,161920.28
0.012774229049682617,4.15,162093.14
0.013056278228759766,4.15,162093.14
0.018099069595336914,4.15,161833.89
0.03041863441467285,4.15,161877.14
0.04266953468322754,4.15,161747.71
0.054970741271972656,4.15,161877.14
0.06728529930114746,4.15,161833.89
0.07954668998718262,4.15,161833.89
0.09174942970275879,4.15,161833.89
0.10392069816589355,4.15,161790.79
0.11612415313720703,4.15,161963.43
0.12836027145385742,4.15,161877.14
0.1405954360961914,4.15,161833.89
0.14913702011108398,4.15,161877.14
0.16144442558288574,4.15,162049.93
0.17370963096618652,4.15,162222.9
0.18593168258666992,4.15,161963.43
0.19823217391967773,4.15,161877.14
0.21053242683410645,4.15,162222.9
0.22283172607421875,4.15,161747.71
0.23515701293945312,4.15,161963.43
0.24741458892822266,4.15,161877.14
0.2597239017486572,4.15,161920.28
0.27194714546203613,4.15,161963.43
0.284182071685791,4.15,161747.71
0.2964615821838379,4.15,161963.43
0.3086893558502197,4.15,161877.14
0.32088160514831543,4.15,161790.79
0.3330960273742676,4.15,161833.89
0.34160494804382324,4.15,161532.46
0.35416173934936523,4.15,162179.64
0.36644721031188965,4.15,161790.79
0.37888550758361816,4.15,162006.6
0.39124536514282227,4.15,161963.43
0.40409207344055176,4.15,161618.46
0.416806697845459,4.15,161704.64
0.4291410446166992,4.15,161704.64
0.44127702713012695,4.15,161618.46
0.4535849094390869,4.15,161704.64
0.4657149314880371,4.15,161618.46
0.4779322147369385,4.15,161532.46
0.48986005783081055,4.15,161661.6
0.5018918514251709,4.15,161446.54
0.5139400959014893,4.15,161360.59
0.5232625007629395,4.15,161575.45
0.5353786945343018,4.15,162136.39
0.547656774520874,4.15,161833.89
0.5600240230560303,4.15,161877.14
0.5723187923431396,4.15,161963.43
0.5844342708587646,4.15,161575.45
0.5958764553070068,4.15,161661.6
0.6080284118652344,4.15,161575.45
0.6203184127807617,4.15,161575.45
0.6329450607299805,4.15,161618.46
0.6450841426849365,4.15,161446.54
0.6574220657348633,4.15,161274.82
0.6694929599761963,4.15,161575.45
0.6818230152130127,4.15,161532.46
0.693939208984375,4.15,161833.89
0.706303596496582,4.15,161489.5
0.7149450778961182,4.15,161575.45
0.7270963191986084,4.15,161790.79
0.7395415306091309,4.15,161704.64
0.751655101776123,4.15,162006.6
0.7639338970184326,4.15,161489.5
0.7762370109558105,4.15,161403.51
0.7888236045837402,4.15,161532.46
0.8009495735168457,4.15,161489.5
0.8130934238433838,4.15,161618.46
0.825554609298706,4.15,161532.46
0.837982177734375,4.15,161403.51
0.8499584197998047,4.15,161489.5
0.8623926639556885,4.15,161360.59
0.8743941783905029,4.15,161489.5
0.886441707611084,4.15,161274.82
0.8959050178527832,4.15,161532.46
0.9080674648284912,4.15,161790.79
0.9206008911132812,4.15,161790.79
0.932809591293335,4.15,161618.46
0.9453551769256592,4.15,161532.46
0.957451581954956,4.15,161790.79
0.969872236251831,4.15,161532.46
0.9818015098571777,4.15,161489.5
0.9929041862487793,4.15,161575.45
1.0054631233215332,4.15,161317.7
1.0175461769104004,4.15,161317.7
1.02968430519104,4.15,161489.5
1.0420191287994385,4.15,161575.45
1.0542433261871338,4.15,161575.45
1.0664341449737549,4.15,161274.82
1.0788440704345703,4.15,161532.46
1.0873925685882568,4.15,161532.46
1.099780797958374,4.15,161575.45
1.1118042469024658,4.15,161575.45
1.1240646839141846,4.15,161446.54
1.1362926959991455,4.15,161274.82
1.148519515991211,4.15,161274.82
1.1608407497406006,4.15,161060.62
1.1731948852539062,4.15,161146.2
1.185441255569458,4.15,160932.28
1.1976909637451172,4.15,160718.84
1.2099955081939697,4.15,161017.75
1.2222034931182861,4.15,160932.28
1.2344133853912354,4.15,161146.2
1.2466559410095215,4.15,161017.75
1.258819341659546,4.15,161146.2
1.2710106372833252,4.15,161146.2
1.2796025276184082,4.15,160804.1
1.2919442653656006,4.15,161489.5
1.304274559020996,4.15,161360.59
1.3165624141693115,4.15,161017.75
1.3288674354553223,4.15,161146.2
1.3411061763763428,4.15,161017.75
1.3534066677093506,4.15,161060.62
1.3656461238861084,4.15,160804.1
1.3779218196868896,4.15,160932.28
1.3902480602264404,4.15,160463.34
1.402430534362793,4.15,160463.34
1.414710283279419,4.15,160590.95
1.426854133605957,4.15,160335.78
1.4390931129455566,4.15,160505.85
1.4513671398162842,4.15,160505.85
1.4597928524017334,4.15,160293.34
1.4721462726593018,4.15,160889.59
1.4845221042633057,4.15,160846.89
1.4973101615905762,4.15,160420.73
1.5091006755828857,4.15,160250.81
1.5214951038360596,4.15,160250.81
1.533689022064209,4.15,160378.25
1.545943260192871,4.15,160378.25
1.5585098266601562,4.15,160420.73
1.5711493492126465,4.15,160335.78
1.5833590030670166,4.15,160123.65
1.5960566997528076,4.15,160293.34
1.6081175804138184,4.15,160208.4
1.6202173233032227,4.15,160166.01
1.632253885269165,4.15,160335.78
1.6443812847137451,4.14,159954.26
1.6536235809326172,4.15,160463.34
1.6658260822296143,4.15,160633.51
1.6782383918762207,4.15,160420.73
1.6903657913208008,4.15,160590.95
1.7026898860931396,4.15,160335.78
1.7149848937988281,4.15,160420.73
1.7273333072662354,4.15,160378.25
1.7396550178527832,4.15,160378.25
1.7520060539245605,4.15,160463.34
1.7641346454620361,4.15,160250.81
1.776618242263794,4.15,160378.25
1.7885546684265137,4.15,160293.34
1.7998011112213135,4.15,160378.25
1.8121960163116455,4.15,160548.39
1.8243837356567383,4.14,159869.73
1.8367536067962646,4.15,160081.31
1.8459138870239258,4.14,159911.98
1.8584222793579102,4.15,160166.01
1.8707914352416992,4.15,160208.4
1.883000135421753,4.15,160038.87
1.895578384399414,4.14,159911.98
1.907562255859375,4.14,159785.15
1.9198439121246338,4.14,159742.96
1.9321873188018799,4.14,159658.5
1.9445796012878418,4.14,159616.35
1.9567139148712158,4.14,159742.96
1.9689993858337402,4.14,159827.39
1.9808752536773682,4.14,159658.5
1.9932575225830078,4.14,159700.78
2.005575180053711,4.14,159405.79
2.0171782970428467,4.14,159827.39
2.0288143157958984,4.14,159700.78
2.0373401641845703,4.14,159827.39
2.049760341644287,4.15,160293.34
2.0618865489959717,4.15,159996.56
2.0742740631103516,4.15,160081.31
2.0868208408355713,4.14,159954.26
2.0989396572113037,4.14,159869.73
2.112222194671631,4.15,159996.56
2.12479305267334,4.14,159911.98
2.1369261741638184,4.15,159996.56
2.1491611003875732,4.15,159996.56
2.1613516807556152,4.14,159785.15
2.1736364364624023,4.15,160038.87
2.1857645511627197,4.14,159785.15
2.197683811187744,4.15,160038.87
2.2098042964935303,4.14,159869.73
2.221698522567749,4.14,159827.39
2.2310540676116943,4.15,160038.87
2.243457555770874,4.15,160123.65
2.2555532455444336,4.15,160081.31
2.268040418624878,4.14,159954.26
2.280097723007202,4.14,159785.15
2.2917187213897705,4.14,159869.73
2.3040292263031006,4.14,159658.5
2.31640887260437,4.14,159911.98
2.328922986984253,4.14,159827.39
2.341279983520508,4.14,159785.15
2.3538479804992676,4.14,159954.26
2.3660500049591064,4.14,159574.23
2.3780157566070557,4.14,159785.15
2.3901827335357666,4.14,159785.15
2.4023597240448,4.14,159785.15
2.414304494857788,4.14,159869.73
2.4239284992218018,4.14,159869.73
2.43591046333313,4.14,159954.26
2.4480764865875244,4.14,159911.98
