Date_Time,Elapsed_Time_s,Temperature_C,Humidity_percent
2026-09-14 15:10:32,0.01,23.4,62.5
2026-09-14 15:10:34,1.52,23.7,99.9
2026-09-14 15:10:36,3.54,25.8,99.9
2026-09-14 15:10:38,5.56,26.5,99.9
2026-09-14 15:10:40,7.58,27.1,99.9
2026-09-14 15:10:42,9.6,27.6,99.9
2026-09-14 15:10:44,11.62,28.0,99.9
2026-09-14 15:10:46,13.64,28.3,99.9
2026-09-14 15:10:48,15.67,28.6,99.9
2026-09-14 15:10:50,17.69,28.9,99.9
2026-09-14 15:10:52,19.71,29.1,99.9
2026-09-14 15:10:54,21.73,29.3,99.9
2026-09-14 15:10:56,23.75,29.4,99.9
2026-09-14 15:10:58,25.78,29.5,99.9
2026-09-14 15:11:00,27.8,29.7,99.9
2026-09-14 15:11:02,29.82,29.8,99.9
2026-09-14 15:11:04,31.84,29.9,99.9
2026-09-14 15:11:06,33.87,30.0,99.9
2026-09-14 15:11:08,35.89,30.0,99.9
2026-09-14 15:11:10,37.91,30.1,99.9
2026-09-14 15:11:12,39.93,30.1,99.9
2026-09-14 15:11:14,41.95,30.2,99.9
2026-09-14 15:11:16,43.97,30.2,99.9
2026-09-14 15:11:18,46.0,30.2,99.9
2026-09-14 15:11:20,48.02,30.3,99.9
2026-09-14 15:11:22,50.04,30.3,99.9
2026-09-14 15:11:24,52.06,30.4,99.9
2026-09-14 15:11:26,54.09,30.4,99.9
2026-09-14 15:11:28,56.11,30.4,99.9
2026-09-14 15:11:30,58.13,30.4,99.9
2026-09-14 15:11:32,60.15,30.5,99.9
2026-09-14 15:11:34,62.17,30.5,99.9
2026-09-14 15:11:36,64.2,30.5,99.9
2026-09-14 15:11:38,66.22,30.5,99.9
2026-09-14 15:11:40,68.24,30.5,99.9
2026-09-14 15:11:42,70.26,30.5,99.9
2026-09-14 15:11:44,72.28,30.5,99.9
2026-09-14 15:11:46,74.31,30.5,99.9
2026-09-14 15:11:48,76.33,30.5,99.9
2026-09-14 15:11:50,78.35,30.5,99.9
2026-09-14 15:11:52,80.37,30.5,99.9
2026-09-14 15:11:54,82.39,30.5,99.9
2026-09-14 15:11:56,84.42,30.5,99.9
2026-09-14 15:11:58,86.44,30.5,99.9
2026-09-14 15:12:00,88.46,30.5,99.9
2026-09-14 15:12:03,90.48,30.5,99.9
2026-09-14 15:12:05,92.51,30.4,99.9
2026-09-14 15:12:07,94.52,30.5,99.9
2026-09-14 15:12:09,96.55,30.4,99.9
2026-09-14 15:12:11,98.57,30.5,99.9
2026-09-14 15:12:13,100.59,30.4,99.9
2026-09-14 15:12:15,102.61,30.5,99.9
2026-09-14 15:12:17,104.64,30.4,99.9
2026-09-14 15:12:19,106.66,30.4,99.9
2026-09-14 15:12:21,108.68,30.4,99.9
2026-09-14 15:12:23,110.7,30.3,99.9
2026-09-14 15:12:25,112.73,30.3,99.9
2026-09-14 15:12:27,114.75,30.3,99.9
