Time (s),Voltage (V),Resistance (Ohm)
0.0014238357543945312,3.5,76826.12
0.0027174949645996094,3.5,77004.59
0.003851652145385742,3.5,77073.39
0.004957675933837891,3.5,76730.26
0.006052494049072266,3.5,77169.85
0.007153749465942383,3.5,76867.25
0.008486032485961914,3.5,76853.54
0.009804010391235352,3.5,76922.15
0.010948896408081055,3.5,76675.55
0.012086153030395508,3.5,77238.86
0.013217687606811523,3.5,76716.57
0.014348268508911133,3.5,76853.54
0.015473127365112305,3.5,76867.25
0.016600847244262695,3.5,76730.26
0.017733097076416016,3.5,77169.85
0.01892852783203125,3.5,76977.09
0.020050525665283203,3.5,76922.15
0.021198272705078125,3.5,76894.69
0.022242069244384766,3.5,76730.26
0.023347854614257812,3.5,77059.62
0.026306629180908203,3.5,76812.41
0.027346372604370117,3.5,76949.62
0.028336763381958008,3.5,76880.96
0.029324769973754883,3.5,76730.26
0.030312776565551758,3.5,77128.48
0.03129887580871582,3.5,76949.62
0.032286643981933594,3.5,76880.96
0.03342914581298828,3.5,77073.39
0.034423828125,3.5,76757.62
0.03542375564575195,3.5,77225.04
0.03641057014465332,3.5,76743.93
0.03740572929382324,3.5,76853.54
0.03838348388671875,3.5,76922.15
0.03936576843261719,3.5,76743.93
0.040465354919433594,3.5,77238.86
0.04146385192871094,3.5,76785.0
0.04244589805603027,3.5,76812.41
0.04343247413635254,3.5,76826.12
0.044416189193725586,3.5,76675.55
0.045560598373413086,3.5,76785.0
0.046561479568481445,3.5,76757.62
0.04755806922912598,3.5,76977.09
0.04854941368103027,3.5,76922.15
0.04953813552856445,3.5,76716.57
0.05052828788757324,3.5,76935.88
0.05151772499084473,3.5,76757.62
0.059093475341796875,3.5,76963.35
0.0715186595916748,3.5,76798.71
0.08391785621643066,3.49,76620.9
0.09601926803588867,3.5,76990.84
0.10780715942382812,3.5,76757.62
0.1200416088104248,3.5,76949.62
0.1320960521697998,3.5,76771.32
0.14142155647277832,3.5,76689.21
0.15352368354797363,3.5,77169.85
0.16583490371704102,3.5,76648.21
0.1779460906982422,3.5,77018.35
0.19022464752197266,3.5,76977.09
0.20254087448120117,3.5,76634.57
0.21491718292236328,3.5,77045.86
0.22690987586975098,3.5,76648.21
0.23921418190002441,3.5,76867.25
0.25166964530944824,3.5,76894.69
0.2637157440185547,3.49,76620.9
0.27547144889831543,3.5,76853.54
0.2878143787384033,3.5,76675.55
0.29969191551208496,3.5,76812.41
0.3088557720184326,3.5,76867.25
0.3214759826660156,3.5,76853.54
0.33381223678588867,3.5,76894.69
0.34605908393859863,3.5,76675.55
0.35804176330566406,3.5,77018.35
0.3704664707183838,3.5,76771.32
0.3828134536743164,3.49,76620.9
0.3950963020324707,3.5,76949.62
0.40720152854919434,3.5,76730.26
0.41947078704833984,3.5,76990.84
0.43152356147766113,3.5,76826.12
0.4435296058654785,3.49,76620.9
0.45560193061828613,3.5,76963.35
0.4647822380065918,3.49,76579.96
0.47705912590026855,3.5,77045.86
0.4891822338104248,3.5,76977.09
0.5016145706176758,3.5,76716.57
0.5139315128326416,3.5,76949.62
0.5259931087493896,3.49,76566.29
0.5383172035217285,3.5,77059.62
0.5506384372711182,3.5,76839.82
0.563101053237915,3.5,76716.57
0.5748507976531982,3.5,76949.62
0.5864434242248535,3.49,76552.67
0.5985476970672607,3.5,76935.88
0.610764741897583,3.5,76839.82
0.6193535327911377,3.5,76661.87
0.6315863132476807,3.5,76949.62
0.6442067623138428,3.49,76607.25
0.6565096378326416,3.5,77087.16
0.6688780784606934,3.5,76894.69
0.6813516616821289,3.5,76661.87
0.6936750411987305,3.5,76880.96
0.7063703536987305,3.49,76607.25
0.7185649871826172,3.5,77045.86
0.7309250831604004,3.5,76908.41
0.7428538799285889,3.5,76661.87
0.7550427913665771,3.5,76839.82
0.7670061588287354,3.5,76634.57
0.7789695262908936,3.5,77059.62
0.7882339954376221,3.5,76826.12
0.8005068302154541,3.5,76716.57
0.812868595123291,3.5,76894.69
0.8251609802246094,3.5,76661.87
