Time (s),Voltage (V),Resistance (Ohm)
0.2969792999792844,85.0,43603.89
0.2973256999393925,2.85,43617.23
0.2976728000212461,2.85,43610.56
0.29801709996536374,2.85,43630.57
0.29835940001066774,2.85,43617.23
0.298704499960877,2.85,43657.28
0.29904870002064854,2.85,43650.6
0.2993905999464914,2.85,43637.25
0.29973660001996905,2.85,43603.89
0.3000832999823615,2.85,43617.23
0.3004256000276655,2.85,43610.56
0.3007676999550313,2.85,43630.57
0.301111500011757,2.85,43617.23
0.30145489994902164,2.85,43657.28
0.30179749999661,2.85,43650.6
0.30214050004724413,2.85,43637.25
0.3024855999974534,2.85,43650.6
0.30282909993547946,2.85,43663.96
0.3031718999845907,2.85,43657.28
0.3035144000314176,2.85,43650.6
0.30385719996411353,2.85,43657.28
0.30420180002693087,2.85,43677.32
0.30454489996191114,2.85,43657.28
0.30488619999960065,2.85,43690.68
0.3052278000395745,2.85,43710.73
0.305571399978362,2.85,43717.43
0.3059133000206202,2.85,43730.81
0.3062549999449402,2.85,43704.05
0.3065989000024274,2.85,43737.5
0.30694219993893057,2.85,43717.43
0.30727570003364235,2.85,43737.5
0.30981969996355474,2.85,43704.05
0.32212729996535927,2.85,43744.19
0.3342253000009805,2.85,43750.88
0.34652300004381686,2.85,43757.57
0.3585343000013381,2.85,43777.67
0.3709670000243932,2.85,43777.67
0.3796570999547839,2.85,43797.76
0.39224419998936355,2.85,43824.59
0.40501350001432,2.85,43824.59
0.417348499991931,2.85,43871.56
0.4297175999963656,2.85,43831.29
0.4418833999661729,2.85,43838.0
0.45416750002186745,2.85,43838.0
0.46658729994669557,2.85,43838.0
0.47885640000458807,2.85,43858.14
0.490872299997136,2.85,43871.56
0.5029157999670133,2.85,43871.56
0.5147376999957487,2.85,43885.0
0.5267970999702811,2.85,43885.0
0.536016899975948,2.85,43885.0
0.5483117999974638,2.86,43925.32
0.5605985999573022,2.86,43925.32
0.5728897999506444,2.86,43938.77
0.5852447999641299,2.86,43925.32
0.5974605999654159,2.85,43911.87
0.6098348000086844,2.86,43925.32
0.6220638999948278,2.86,43932.05
0.6345251000020653,2.86,43925.32
0.6466145999729633,2.86,43952.23
0.6584920999594033,2.86,43958.95
0.6705970000475645,2.86,43972.42
0.6823738999664783,2.86,43965.69
0.6941973000066355,2.86,43985.89
0.7029548999853432,2.86,43972.42
0.7151776000391692,2.86,44006.09
0.7274028999963775,2.86,44012.83
0.7397505999542773,2.86,44033.06
0.7520782999927178,2.86,44006.09
0.7645657999673858,2.86,44012.83
0.7771213999949396,2.86,44012.83
0.7894991999492049,2.86,44026.32
