
Time,Displacement,Force,Compressive strain (Displacement),Compressive stress,Cycle count,Total cycle count
(s),(mm),(N),(%),(MPa),,
"0.0000","0.0105","0.0001","-0.0034","0.0000","0.0000","0.0000"
"0.0200","0.0105","0.0000","-0.0031","0.0000","0.0000","0.0000"
"0.0400","0.0107","0.0005","-0.0016","0.0000","0.0000","0.0000"
"0.0600","0.0113","0.0009","0.0021","0.0000","0.0000","0.0000"
"0.0800","0.0123","-0.0004","0.0096","0.0000","0.0000","0.0000"
"0.1000","0.0127","-0.0002","0.0121","0.0000","0.0000","0.0000"
"0.1200","0.0130","0.0002","0.0146","0.0000","0.0000","0.0000"
"0.1400","0.0137","0.0013","0.0198","0.0000","0.0000","0.0000"
"0.1600","0.0160","0.0030","0.0360","0.0000","0.0000","0.0000"
"0.1800","0.0208","0.0012","0.0702","0.0000","0.0000","0.0000"
"0.2000","0.0270","-0.0002","0.1144","0.0000","0.0000","0.0000"
"0.2200","0.0329","-0.0014","0.1569","0.0000","0.0000","0.0000"
"0.2400","0.0378","-0.0014","0.1921","0.0000","0.0000","0.0000"
"0.2600","0.0418","-0.0009","0.2204","0.0000","0.0000","0.0000"
"0.2800","0.0453","0.0002","0.2456","0.0000","0.0000","0.0000"
"0.3000","0.0487","-0.0005","0.2700","0.0000","0.0000","0.0000"
"0.3200","0.0522","-0.0002","0.2946","0.0000","0.0000","0.0000"
"0.3400","0.0557","-0.0005","0.3198","0.0000","0.0000","0.0000"
"0.3600","0.0593","-0.0004","0.3456","0.0000","0.0000","0.0000"
"0.3800","0.0629","-0.0001","0.3711","0.0000","0.0000","0.0000"
"0.4000","0.0662","-0.0003","0.3950","0.0000","0.0000","0.0000"
"0.4200","0.0694","-0.0004","0.4175","0.0000","0.0000","0.0000"
"0.4400","0.0724","0.0000","0.4392","0.0000","0.0000","0.0000"
"0.4600","0.0755","-0.0003","0.4615","0.0000","0.0000","0.0000"
"0.4800","0.0787","-0.0002","0.4842","0.0000","0.0000","0.0000"
"0.5000","0.0819","-0.0004","0.5073","0.0000","0.0000","0.0000"
"0.5200","0.0853","0.0001","0.5313","0.0000","0.0000","0.0000"
"0.5400","0.0889","0.0004","0.5568","0.0000","0.0000","0.0000"
"0.5600","0.0926","0.0000","0.5839","0.0000","0.0000","0.0000"
"0.5800","0.0965","0.0000","0.6115","0.0000","0.0000","0.0000"
"0.6000","0.1002","-0.0005","0.6376","0.0000","0.0000","0.0000"
"0.6200","0.1034","-0.0002","0.6610","0.0000","0.0000","0.0000"
"0.6400","0.1064","-0.0004","0.6825","0.0000","0.0000","0.0000"
"0.6600","0.1093","0.0002","0.7032","0.0000","0.0000","0.0000"
"0.6800","0.1123","0.0001","0.7241","0.0000","0.0000","0.0000"
"0.7000","0.1153","-0.0001","0.7457","0.0000","0.0000","0.0000"
"0.7200","0.1185","0.0006","0.7685","0.0000","0.0000","0.0000"
"0.7400","0.1218","0.0004","0.7924","0.0000","0.0000","0.0000"
"0.7600","0.1253","0.0003","0.8174","0.0000","0.0000","0.0000"
"0.7800","0.1290","-0.0001","0.8439","0.0000","0.0000","0.0000"
"0.8000","0.1328","-0.0005","0.8710","0.0000","0.0000","0.0000"
"0.8200","0.1365","-0.0005","0.8973","0.0000","0.0000","0.0000"
"0.8400","0.1399","-0.0002","0.9217","0.0000","0.0000","0.0000"
"0.8600","0.1432","0.0001","0.9449","0.0000","0.0000","0.0000"
"0.8800","0.1463","0.0002","0.9673","0.0000","0.0000","0.0000"
"0.9000","0.1493","-0.0003","0.9891","0.0000","0.0000","0.0000"
"0.9200","0.1525","-0.0001","1.0115","0.0000","0.0000","0.0000"
"0.9400","0.1557","-0.0001","1.0349","0.0000","0.0000","0.0000"
"0.9600","0.1591","0.0001","1.0589","0.0000","0.0000","0.0000"
"0.9800","0.1625","-0.0001","1.0834","0.0000","0.0000","0.0000"
"1.0000","0.1659","0.0000","1.1077","0.0000","0.0000","0.0000"
"1.0200","0.1693","-0.0001","1.1317","0.0000","0.0000","0.0000"
"1.0400","0.1726","-0.0002","1.1556","0.0000","0.0000","0.0000"
"1.0600","0.1759","0.0002","1.1793","0.0000","0.0000","0.0000"
"1.0800","0.1792","-0.0002","1.2024","0.0000","0.0000","0.0000"
"1.1000","0.1824","-0.0002","1.2255","0.0000","0.0000","0.0000"
"1.1200","0.1857","0.0002","1.2487","0.0000","0.0000","0.0000"
"1.1400","0.1889","0.0001","1.2718","0.0000","0.0000","0.0000"
"1.1600","0.1922","0.0003","1.2954","0.0000","0.0000","0.0000"
"1.1800","0.1957","-0.0002","1.3203","0.0000","0.0000","0.0000"
"1.2000","0.1992","-0.0006","1.3459","0.0000","0.0000","0.0000"
"1.2200","0.2028","-0.0003","1.3710","0.0000","0.0000","0.0000"
"1.2400","0.2061","-0.0003","1.3948","0.0000","0.0000","0.0000"
"1.2600","0.2092","0.0001","1.4173","0.0000","0.0000","0.0000"
"1.2800","0.2124","0.0002","1.4400","0.0000","0.0000","0.0000"
"1.3000","0.2157","-0.0001","1.4635","0.0000","0.0000","0.0000"
"1.3200","0.2190","0.0003","1.4873","0.0000","0.0000","0.0000"
"1.3400","0.2224","-0.0001","1.5115","0.0000","0.0000","0.0000"
"1.3600","0.2259","-0.0003","1.5364","0.0000","0.0000","0.0000"
"1.3800","0.2294","0.0000","1.5616","0.0000","0.0000","0.0000"
"1.4000","0.2329","-0.0004","1.5866","0.0000","0.0000","0.0000"
"1.4200","0.2363","-0.0001","1.6104","0.0000","0.0000","0.0000"
"1.4400","0.2394","-0.0002","1.6333","0.0000","0.0000","0.0000"
"1.4600","0.2425","0.0000","1.6552","0.0000","0.0000","0.0000"
"1.4800","0.2455","-0.0004","1.6767","0.0000","0.0000","0.0000"
"1.5000","0.2486","-0.0002","1.6989","0.0000","0.0000","0.0000"
"1.5200","0.2520","0.0001","1.7227","0.0000","0.0000","0.0000"
"1.5400","0.2554","0.0001","1.7476","0.0000","0.0000","0.0000"
"1.5600","0.2590","-0.0001","1.7732","0.0000","0.0000","0.0000"
"1.5800","0.2627","0.0005","1.7996","0.0000","0.0000","0.0000"
"1.6000","0.2664","-0.0003","1.8262","0.0000","0.0000","0.0000"
"1.6200","0.2700","-0.0002","1.8516","0.0000","0.0000","0.0000"
"1.6400","0.2732","-0.0007","1.8748","0.0000","0.0000","0.0000"
"1.6600","0.2762","0.0002","1.8962","0.0000","0.0000","0.0000"
"1.6800","0.2792","0.0001","1.9171","0.0000","0.0000","0.0000"
"1.7000","0.2822","0.0002","1.9388","0.0000","0.0000","0.0000"
"1.7200","0.2854","-0.0001","1.9615","0.0000","0.0000","0.0000"
"1.7400","0.2886","0.0004","1.9849","0.0000","0.0000","0.0000"
"1.7600","0.2920","0.0005","2.0092","0.0000","0.0000","0.0000"
"1.7800","0.2956","0.0004","2.0347","0.0000","0.0000","0.0000"
