
Time,Displacement,Force,Compressive strain (Displacement),Compressive stress,Cycle count,Total cycle count
(s),(mm),(N),(%),(MPa),,
"0.0000","0.0114","0.0000","-0.0027","0.0000","0.0000","0.0000"
"0.0200","0.0115","-0.0003","-0.0024","0.0000","0.0000","0.0000"
"0.0400","0.0117","0.0002","-0.0009","0.0000","0.0000","0.0000"
"0.0600","0.0124","0.0016","0.0040","0.0000","0.0000","0.0000"
"0.0800","0.0134","0.0005","0.0116","0.0000","0.0000","0.0000"
"0.1000","0.0138","0.0003","0.0143","0.0000","0.0000","0.0000"
"0.1200","0.0142","0.0013","0.0172","0.0000","0.0000","0.0000"
"0.1400","0.0151","0.0031","0.0235","0.0000","0.0000","0.0000"
"0.1600","0.0178","0.0051","0.0431","0.0000","0.0000","0.0000"
"0.1800","0.0230","0.0047","0.0802","0.0000","0.0000","0.0000"
"0.2000","0.0292","0.0053","0.1242","0.0000","0.0000","0.0000"
"0.2200","0.0347","0.0066","0.1638","0.0000","0.0000","0.0000"
"0.2400","0.0392","0.0086","0.1957","0.0000","0.0000","0.0000"
"0.2600","0.0429","0.0101","0.2224","0.0000","0.0000","0.0000"
"0.2800","0.0464","0.0117","0.2470","0.0000","0.0000","0.0000"
"0.3000","0.0498","0.0134","0.2718","0.0000","0.0000","0.0000"
"0.3200","0.0534","0.0146","0.2974","0.0000","0.0000","0.0000"
"0.3400","0.0572","0.0153","0.3242","0.0000","0.0000","0.0000"
"0.3600","0.0610","0.0163","0.3515","0.0000","0.0000","0.0000"
"0.3800","0.0646","0.0173","0.3776","0.0000","0.0000","0.0000"
"0.4000","0.0679","0.0188","0.4013","0.0000","0.0000","0.0000"
"0.4200","0.0710","0.0195","0.4231","0.0000","0.0000","0.0000"
"0.4400","0.0739","0.0210","0.4442","0.0000","0.0000","0.0000"
"0.4600","0.0770","0.0218","0.4661","0.0000","0.0000","0.0000"
"0.4800","0.0802","0.0232","0.4889","0.0000","0.0000","0.0000"
"0.5000","0.0835","0.0245","0.5127","0.0000","0.0000","0.0000"
"0.5200","0.0870","0.0252","0.5375","0.0000","0.0000","0.0000"
"0.5400","0.0906","0.0264","0.5632","0.0000","0.0000","0.0000"
"0.5600","0.0943","0.0275","0.5895","0.0000","0.0000","0.0000"
"0.5800","0.0979","0.0283","0.6158","0.0000","0.0000","0.0000"
"0.6000","0.1015","0.0297","0.6415","0.0000","0.0000","0.0000"
"0.6200","0.1049","0.0301","0.6655","0.0000","0.0000","0.0000"
"0.6400","0.1079","0.0316","0.6871","0.0000","0.0000","0.0000"
"0.6600","0.1108","0.0325","0.7075","0.0000","0.0000","0.0000"
"0.6800","0.1137","0.0336","0.7283","0.0000","0.0000","0.0000"
"0.7000","0.1168","0.0349","0.7506","0.0000","0.0000","0.0000"
"0.7200","0.1201","0.0361","0.7742","0.0000","0.0000","0.0000"
"0.7400","0.1236","0.0371","0.7991","0.0000","0.0000","0.0000"
"0.7600","0.1273","0.0382","0.8253","0.0000","0.0000","0.0000"
"0.7800","0.1310","0.0391","0.8522","0.0000","0.0000","0.0000"
"0.8000","0.1347","0.0402","0.8786","0.0000","0.0000","0.0000"
"0.8200","0.1382","0.0408","0.9034","0.0000","0.0000","0.0000"
"0.8400","0.1414","0.0426","0.9267","0.0000","0.0000","0.0000"
"0.8600","0.1446","0.0435","0.9493","0.0000","0.0000","0.0000"
"0.8800","0.1477","0.0449","0.9716","0.0000","0.0000","0.0000"
"0.9000","0.1508","0.0461","0.9936","0.0000","0.0000","0.0000"
"0.9200","0.1539","0.0470","1.0158","0.0000","0.0000","0.0000"
"0.9400","0.1571","0.0482","1.0387","0.0000","0.0000","0.0000"
"0.9600","0.1605","0.0492","1.0628","0.0000","0.0000","0.0000"
"0.9800","0.1640","0.0499","1.0878","0.0000","0.0000","0.0000"
