
Time,Displacement,Force,Compressive strain (Displacement),Compressive stress,Cycle count,Total cycle count
(s),(mm),(N),(%),(MPa),,
"0.0000","0.0067","0.0000","0.0005","0.0000","0.0000","0.0000"
"0.0200","0.0067","0.0001","0.0007","0.0000","0.0000","0.0000"
"0.0400","0.0070","0.0002","0.0023","0.0000","0.0000","0.0000"
"0.0600","0.0080","-0.0005","0.0085","0.0000","0.0000","0.0000"
"0.0800","0.0088","-0.0011","0.0133","0.0000","0.0000","0.0000"
"0.1000","0.0092","0.0002","0.0154","0.0000","0.0000","0.0000"
"0.1200","0.0097","0.0016","0.0185","0.0000","0.0000","0.0000"
"0.1400","0.0111","0.0039","0.0268","0.0000","0.0000","0.0000"
"0.1600","0.0148","0.0040","0.0487","0.0000","0.0000","0.0000"
"0.1800","0.0204","0.0018","0.0813","0.0000","0.0000","0.0000"
"0.2000","0.0260","0.0013","0.1143","0.0000","0.0000","0.0000"
"0.2200","0.0308","0.0018","0.1425","0.0000","0.0000","0.0000"
"0.2400","0.0350","0.0037","0.1671","0.0000","0.0000","0.0000"
"0.2600","0.0389","0.0042","0.1905","0.0000","0.0000","0.0000"
"0.2800","0.0429","0.0050","0.2138","0.0000","0.0000","0.0000"
"0.3000","0.0468","0.0049","0.2370","0.0000","0.0000","0.0000"
"0.3200","0.0506","0.0062","0.2591","0.0000","0.0000","0.0000"
"0.3400","0.0541","0.0059","0.2798","0.0000","0.0000","0.0000"
"0.3600","0.0573","0.0073","0.2988","0.0000","0.0000","0.0000"
"0.3800","0.0604","0.0064","0.3170","0.0000","0.0000","0.0000"
"0.4000","0.0635","0.0073","0.3351","0.0000","0.0000","0.0000"
"0.4200","0.0666","0.0072","0.3535","0.0000","0.0000","0.0000"
"0.4400","0.0698","0.0087","0.3724","0.0000","0.0000","0.0000"
"0.4600","0.0732","0.0086","0.3920","0.0000","0.0000","0.0000"
"0.4800","0.0767","0.0097","0.4128","0.0000","0.0000","0.0000"
"0.5000","0.0804","0.0099","0.4347","0.0000","0.0000","0.0000"
"0.5200","0.0842","0.0097","0.4569","0.0000","0.0000","0.0000"
"0.5400","0.0878","0.0100","0.4780","0.0000","0.0000","0.0000"
"0.5600","0.0911","0.0102","0.4975","0.0000","0.0000","0.0000"
"0.5800","0.0942","0.0112","0.5158","0.0000","0.0000","0.0000"
