
Time,Displacement,Force,Compressive strain (Displacement),Compressive stress,Cycle count,Total cycle count
(s),(mm),(N),(%),(MPa),,
"0.0000","0.0043","-0.0001","-0.0022","0.0000","0.0000","0.0000"
"0.0200","0.0043","0.0007","-0.0020","0.0000","0.0000","0.0000"
"0.0400","0.0046","0.0005","-0.0008","0.0000","0.0000","0.0000"
"0.0600","0.0052","0.0019","0.0030","0.0000","0.0000","0.0000"
"0.0800","0.0061","0.0003","0.0083","0.0000","0.0000","0.0000"
"0.1000","0.0065","0.0002","0.0104","0.0000","0.0000","0.0000"
"0.1200","0.0069","0.0017","0.0129","0.0000","0.0000","0.0000"
"0.1400","0.0078","0.0040","0.0183","0.0000","0.0000","0.0000"
"0.1600","0.0107","0.0060","0.0354","0.0000","0.0000","0.0000"
"0.1800","0.0159","0.0062","0.0660","0.0000","0.0000","0.0000"
"0.2000","0.0218","0.0075","0.1009","0.0000","0.0000","0.0000"
"0.2200","0.0275","0.0102","0.1341","0.0000","0.0000","0.0000"
"0.2400","0.0326","0.0118","0.1643","0.0000","0.0000","0.0000"
"0.2600","0.0372","0.0138","0.1914","0.0000","0.0000","0.0000"
"0.2800","0.0412","0.0149","0.2147","0.0000","0.0000","0.0000"
"0.3000","0.0446","0.0173","0.2346","0.0000","0.0000","0.0000"
"0.3200","0.0475","0.0179","0.2520","0.0000","0.0000","0.0000"
"0.3400","0.0503","0.0197","0.2684","0.0000","0.0000","0.0000"
"0.3600","0.0532","0.0205","0.2854","0.0000","0.0000","0.0000"
"0.3800","0.0563","0.0212","0.3035","0.0000","0.0000","0.0000"
"0.4000","0.0595","0.0227","0.3226","0.0000","0.0000","0.0000"
"0.4200","0.0629","0.0239","0.3425","0.0000","0.0000","0.0000"
"0.4400","0.0665","0.0256","0.3635","0.0000","0.0000","0.0000"
"0.4600","0.0702","0.0262","0.3855","0.0000","0.0000","0.0000"
"0.4800","0.0739","0.0277","0.4072","0.0000","0.0000","0.0000"
"0.5000","0.0773","0.0282","0.4275","0.0000","0.0000","0.0000"
"0.5200","0.0806","0.0293","0.4468","0.0000","0.0000","0.0000"
"0.5400","0.0839","0.0305","0.4658","0.0000","0.0000","0.0000"
"0.5600","0.0870","0.0311","0.4844","0.0000","0.0000","0.0000"
"0.5800","0.0901","0.0317","0.5026","0.0000","0.0000","0.0000"
"0.6000","0.0932","0.0329","0.5209","0.0000","0.0000","0.0000"
"0.6200","0.0965","0.0339","0.5402","0.0000","0.0000","0.0000"
"0.6400","0.1000","0.0353","0.5605","0.0000","0.0000","0.0000"
"0.6600","0.1036","0.0364","0.5817","0.0000","0.0000","0.0000"
"0.6800","0.1072","0.0375","0.6030","0.0000","0.0000","0.0000"
"0.7000","0.1107","0.0380","0.6236","0.0000","0.0000","0.0000"
"0.7200","0.1140","0.0392","0.6433","0.0000","0.0000","0.0000"
"0.7400","0.1172","0.0398","0.6622","0.0000","0.0000","0.0000"
"0.7600","0.1204","0.0412","0.6807","0.0000","0.0000","0.0000"
"0.7800","0.1236","0.0417","0.6994","0.0000","0.0000","0.0000"
"0.8000","0.1267","0.0430","0.7181","0.0000","0.0000","0.0000"
"0.8200","0.1299","0.0438","0.7368","0.0000","0.0000","0.0000"
"0.8400","0.1332","0.0453","0.7563","0.0000","0.0000","0.0000"
"0.8600","0.1367","0.0454","0.7767","0.0000","0.0000","0.0000"
"0.8800","0.1402","0.0469","0.7975","0.0000","0.0000","0.0000"
"0.9000","0.1437","0.0471","0.8177","0.0000","0.0000","0.0000"
"0.9200","0.1469","0.0489","0.8370","0.0000","0.0000","0.0000"
"0.9400","0.1501","0.0495","0.8558","0.0000","0.0000","0.0000"
"0.9600","0.1534","0.0503","0.8750","0.0000","0.0000","0.0000"
"0.9800","0.1567","0.0515","0.8943","0.0000","0.0000","0.0000"
"1.0000","0.1600","0.0518","0.9141","0.0000","0.0000","0.0000"
"1.0200","0.1636","0.0533","0.9349","0.0000","0.0000","0.0000"
"1.0400","0.1672","0.0542","0.9560","0.0000","0.0000","0.0000"
"1.0600","0.1707","0.0556","0.9769","0.0000","0.0000","0.0000"
"1.0800","0.1741","0.0572","0.9970","0.0000","0.0000","0.0000"
