
Time,Displacement,Force,Compressive strain (Displacement),Compressive stress,Cycle count,Total cycle count
(s),(mm),(N),(%),(MPa),,
"0.0000","0.0143","-0.0004","-0.0042","0.0000","0.0000","0.0000"
"0.0200","0.0143","-0.0002","-0.0038","0.0000","0.0000","0.0000"
"0.0400","0.0145","-0.0001","-0.0016","0.0000","0.0000","0.0000"
"0.0600","0.0150","0.0011","0.0044","0.0000","0.0000","0.0000"
"0.0800","0.0161","-0.0001","0.0167","0.0000","0.0000","0.0000"
"0.1000","0.0166","-0.0004","0.0214","0.0000","0.0000","0.0000"
"0.1200","0.0169","0.0004","0.0253","0.0000","0.0000","0.0000"
"0.1400","0.0176","0.0016","0.0326","0.0000","0.0000","0.0000"
"0.1600","0.0197","0.0037","0.0561","0.0000","0.0000","0.0000"
"0.1800","0.0243","0.0022","0.1081","0.0000","0.0000","0.0000"
"0.2000","0.0304","0.0008","0.1761","0.0000","0.0000","0.0000"
"0.2200","0.0365","0.0000","0.2431","0.0000","0.0000","0.0000"
"0.2400","0.0416","0.0005","0.3004","0.0000","0.0000","0.0000"
"0.2600","0.0458","0.0014","0.3471","0.0000","0.0000","0.0000"
"0.2800","0.0495","0.0018","0.3883","0.0000","0.0000","0.0000"
"0.3000","0.0530","0.0025","0.4267","0.0000","0.0000","0.0000"
"0.3200","0.0563","0.0033","0.4640","0.0000","0.0000","0.0000"
"0.3400","0.0597","0.0028","0.5021","0.0000","0.0000","0.0000"
"0.3600","0.0632","0.0032","0.5405","0.0000","0.0000","0.0000"
"0.3800","0.0666","0.0032","0.5781","0.0000","0.0000","0.0000"
"0.4000","0.0699","0.0032","0.6147","0.0000","0.0000","0.0000"
"0.4200","0.0731","0.0030","0.6506","0.0000","0.0000","0.0000"
"0.4400","0.0762","0.0032","0.6857","0.0000","0.0000","0.0000"
"0.4600","0.0794","0.0036","0.7204","0.0000","0.0000","0.0000"
"0.4800","0.0825","0.0036","0.7554","0.0000","0.0000","0.0000"
"0.5000","0.0857","0.0040","0.7909","0.0000","0.0000","0.0000"
"0.5200","0.0890","0.0047","0.8279","0.0000","0.0000","0.0000"
"0.5400","0.0926","0.0045","0.8673","0.0000","0.0000","0.0000"
"0.5600","0.0963","0.0050","0.9084","0.0000","0.0000","0.0000"
"0.5800","0.1000","0.0048","0.9506","0.0000","0.0000","0.0000"
"0.6000","0.1037","0.0049","0.9915","0.0000","0.0000","0.0000"
"0.6200","0.1071","0.0051","1.0291","0.0000","0.0000","0.0000"
"0.6400","0.1102","0.0055","1.0636","0.0000","0.0000","0.0000"
"0.6600","0.1132","0.0058","1.0966","0.0000","0.0000","0.0000"
"0.6800","0.1162","0.0058","1.1301","0.0000","0.0000","0.0000"
"0.7000","0.1193","0.0062","1.1646","0.0000","0.0000","0.0000"
"0.7200","0.1225","0.0067","1.2000","0.0000","0.0000","0.0000"
"0.7400","0.1258","0.0067","1.2373","0.0000","0.0000","0.0000"
"0.7600","0.1294","0.0073","1.2769","0.0000","0.0000","0.0000"
"0.7800","0.1331","0.0070","1.3183","0.0000","0.0000","0.0000"
"0.8000","0.1368","0.0075","1.3599","0.0000","0.0000","0.0000"
"0.8200","0.1404","0.0076","1.3999","0.0000","0.0000","0.0000"
