Time (s),Voltage (V),Resistance (Ohm)
0.0014042854309082031,2.08,23589.21
0.0028455257415771484,2.08,23596.49
0.0031714439392089844,2.08,23581.94
0.003484964370727539,2.09,23640.21
0.003806591033935547,2.08,23596.49
0.004106760025024414,2.09,23643.85
0.0044057369232177734,2.09,23640.21
0.00470423698425293,2.09,23618.34
0.005008697509765625,2.09,23665.74
0.005300045013427734,2.09,23629.27
0.005592823028564453,2.09,23709.56
0.005880117416381836,2.09,23705.91
0.006170034408569336,2.09,23673.03
0.006459951400756836,2.09,23654.79
0.006761789321899414,2.08,23567.39
0.007042407989501953,2.08,23574.66
0.007323265075683594,2.08,23560.12
0.007602214813232422,2.08,23538.32
0.007888078689575195,2.08,23552.85
0.018460512161254883,2.08,23469.38
0.018787622451782227,2.08,23473.0
0.01906752586364746,2.08,23422.31
0.019335269927978516,2.07,23375.33
0.019603967666625977,2.08,23411.46
0.01987171173095703,2.07,23368.1
0.02013683319091797,2.08,23411.46
0.02040576934814453,2.07,23389.77
0.020672321319580078,2.07,23353.66
0.020938634872436523,2.07,23364.49
0.02120375633239746,2.07,23295.98
0.021470069885253906,2.07,23324.81
0.021736860275268555,2.07,23299.58
0.0220029354095459,2.07,23274.38
0.022269487380981445,2.07,23281.58
0.0225372314453125,2.06,23216.86
0.022804975509643555,2.07,23231.23
0.023077726364135742,2.06,23177.39
0.023344755172729492,2.06,23152.29
0.023612499237060547,2.06,23180.97
0.02389073371887207,2.06,23109.33
0.02415013313293457,2.06,23137.96
0.024408578872680664,2.06,23105.75
0.02467060089111328,2.06,23091.45
0.024929046630859375,2.06,23120.06
0.025189876556396484,2.06,23055.72
0.03520083427429199,2.06,23084.3
0.047571420669555664,2.06,23080.72
0.059458017349243164,2.06,23095.02
0.07195353507995605,2.06,23120.06
0.08097529411315918,2.06,23077.15
0.09359383583068848,2.06,23112.91
0.10588192939758301,2.06,23095.02
0.1186068058013916,2.06,23087.87
0.130202054977417,2.06,23102.18
0.142716646194458,2.06,23062.86
0.15497469902038574,2.06,23105.75
0.1674027442932129,2.06,23084.3
0.17948436737060547,2.06,23070.0
0.19160985946655273,2.06,23077.15
0.20365166664123535,2.06,23037.87
0.21568083763122559,2.06,23073.58
0.22768235206604004,2.06,23052.15
0.23684954643249512,2.06,23055.72
0.24933433532714844,2.06,23091.45
0.26151585578918457,2.06,23048.58
0.273845911026001,2.06,23066.43
0.28583192825317383,2.06,23030.73
0.2971377372741699,2.06,23027.17
0.3094649314880371,2.06,23048.58
0.3217580318450928,2.05,23005.77
0.33394670486450195,2.06,23034.3
0.3462045192718506,2.05,23005.77
0.35834693908691406,2.05,22984.4
0.3705780506134033,2.05,23016.46
0.38280749320983887,2.05,22963.03
0.39128756523132324,2.05,23012.9
0.40355849266052246,2.05,22998.64
0.41584014892578125,2.05,22991.51
0.4281609058380127,2.05,23012.9
0.44040346145629883,2.05,22963.03
0.45272397994995117,2.05,22995.08
0.4649970531463623,2.05,22977.27
0.47725844383239746,2.05,22984.4
0.489551305770874,2.05,23012.9
0.5017940998077393,2.05,22977.27
0.5139884948730469,2.05,23016.46
0.5262448787689209,2.05,22987.95
0.5384504795074463,2.04,22732.66
0.5468885898590088,2.04,22729.13
0.55922532081604,2.03,22648.07
0.5714740753173828,2.04,22690.33
0.5837922096252441,2.04,22683.28
0.5960359573364258,2.04,22686.8
0.6083579063415527,2.04,22686.8
0.62062668800354,2.03,22595.33
0.6329233646392822,2.03,22598.85
0.6452598571777344,2.03,22528.68
0.6574392318725586,2.03,22532.18
0.6696133613586426,2.02,22399.34
0.6818573474884033,2.02,22392.36
