Time (s),Voltage (V),Resistance (Ohm)
0.0015921592712402344,3.65,89670.89
0.003191709518432617,3.66,89705.1
0.0038404464721679688,3.65,89619.61
0.004178047180175781,3.65,89534.25
0.004513978958129883,3.65,89517.17
0.004843950271606445,3.65,89500.13
0.005173206329345703,3.65,89585.45
0.0055010318756103516,3.65,89534.25
0.00583338737487793,3.65,89568.39
0.006166696548461914,3.65,89551.3
0.0065097808837890625,3.65,89500.13
0.006829977035522461,3.65,89551.3
0.007148027420043945,3.65,89602.51
0.007467985153198242,3.65,89551.3
0.007787466049194336,3.66,89688.0
0.008104085922241211,3.65,89653.8
0.010847330093383789,3.66,89705.1
0.011212587356567383,3.65,89653.8
0.011527538299560547,3.66,89688.0
0.01183176040649414,3.65,89448.97
0.012133121490478516,3.65,89431.95
0.012431621551513672,3.65,89431.95
0.012729167938232422,3.65,89431.95
0.013029336929321289,3.65,89414.93
0.013329744338989258,3.65,89466.03
0.013630390167236328,3.65,89431.95
0.013925313949584961,3.65,89500.13
0.014223098754882812,3.65,89653.8
0.014523029327392578,3.65,89534.25
0.014824867248535156,3.65,89568.39
0.015123605728149414,3.65,89414.93
0.015421867370605469,3.65,89414.93
0.015722274780273438,3.65,89414.93
0.01602029800415039,3.65,89397.89
0.01631903648376465,3.65,89466.03
0.0166170597076416,3.65,89431.95
0.016915321350097656,3.65,89551.3
0.01721334457397461,3.65,89483.07
0.017510414123535156,3.65,89500.13
0.017818927764892578,3.65,89500.13
0.018120765686035156,3.65,89278.83
0.018425464630126953,3.65,89397.89
0.018723726272583008,3.65,89431.95
0.01902174949645996,3.65,89380.88
0.028216838836669922,3.65,89397.89
0.04034423828125,3.65,89397.89
0.05262184143066406,3.65,89363.85
0.06521439552307129,3.65,89397.89
0.07752108573913574,3.65,89363.85
0.0902409553527832,3.65,89397.89
0.10242128372192383,3.65,89380.88
0.11440277099609375,3.65,89397.89
0.1263589859008789,3.65,89380.88
0.13553619384765625,3.65,89278.83
0.14794158935546875,3.65,89363.85
0.16013240814208984,3.65,89312.83
0.17219090461730957,3.65,89329.82
0.18468880653381348,3.65,89363.85
0.1969444751739502,3.65,89261.85
0.2092723846435547,3.65,89244.86
0.2215578556060791,3.65,89193.94
0.23373126983642578,3.65,89278.83
0.24617958068847656,3.65,89227.89
0.2580742835998535,3.65,89244.86
0.27028846740722656,3.65,89261.85
0.2818644046783447,3.65,89210.9
0.29419493675231934,3.65,89244.86
0.30325746536254883,3.65,89227.89
0.3158597946166992,3.65,89363.85
0.3281583786010742,3.65,89397.89
0.339061975479126,3.65,89363.85
0.3512394428253174,3.65,89295.84
0.3648262023925781,3.65,89295.84
0.3771474361419678,3.65,89295.84
0.38956236839294434,3.65,89312.83
0.4017634391784668,3.65,89346.84
0.41391944885253906,3.65,89312.83
0.4259603023529053,3.65,89176.98
0.4379923343658447,3.65,89261.85
0.4493224620819092,3.65,89261.85
0.4615018367767334,3.65,89261.85
0.4701523780822754,3.65,89295.84
0.48250460624694824,3.65,89397.89
0.49498581886291504,3.65,89295.84
0.5070171356201172,3.65,89397.89
0.5196533203125,3.65,89160.01
0.5322933197021484,3.65,89160.01
0.5450513362884521,3.65,89160.01
0.5572636127471924,3.65,89109.17
0.5694222450256348,3.65,89261.85
0.5816686153411865,3.65,89143.07
0.5936861038208008,3.65,89210.9
0.6056826114654541,3.65,89193.94
0.6176955699920654,3.65,89160.01
0.6268885135650635,3.65,89160.01
0.6392819881439209,3.65,89261.85
0.651508092880249,3.65,89210.9
0.6634619235992432,3.65,89210.9
0.6749627590179443,3.65,89176.98
0.6875002384185791,3.65,89176.98
0.6996874809265137,3.65,89075.28
0.7120862007141113,3.65,89143.07
0.7243943214416504,3.65,88973.76
0.737297773361206,3.65,89092.21
0.7493739128112793,3.65,89109.17
0.7615740299224854,3.65,89143.07
0.7734835147857666,3.65,89176.98
0.7853560447692871,3.65,89109.17
0.7948253154754639,3.65,89075.28
0.8071272373199463,3.65,89143.07
0.8194072246551514,3.65,88990.67
0.8305940628051758,3.65,89176.98
0.8427221775054932,3.65,89007.58
0.8549792766571045,3.65,89007.58
0.8674197196960449,3.65,89058.36
0.8796806335449219,3.65,88973.76
0.8921716213226318,3.65,89092.21
