Time (s),Voltage (V),Resistance (Ohm)
0.000953900016611442,3.26,61647.41
0.0015512000245507807,3.24,60900.06
0.0020337000023573637,3.25,61050.58
0.002502000017557293,3.24,60970.25
0.0029693000251427293,3.24,60660.2
0.0034294000070076436,3.25,61343.0
0.0038898000202607363,3.24,60870.0
0.004354200005764142,3.24,61000.36
0.004812600003788248,3.24,60920.09
0.0052657000196632,3.24,60610.38
0.0057406999985687435,3.25,61282.35
0.006291600002441555,3.24,60799.96
0.006781000003684312,3.24,60860.0
0.007245500019052997,3.24,60880.02
0.007704700023168698,3.24,60570.56
0.008171699999365956,3.25,61302.56
0.010390100011136383,3.24,60710.06
0.010867300006793812,3.24,60920.09
0.011323500017169863,3.24,60769.98
0.011772199999541044,3.24,60590.47
0.012225100013893098,3.25,61322.77
0.012674600002355874,3.24,60809.97
0.013119200011715293,3.24,60930.12
0.01357290000305511,3.24,60740.02
0.014016800007084385,3.24,60530.8
0.014455800002906471,3.25,61272.25
0.01489750001928769,3.24,60670.17
0.015344200015533715,3.24,60900.06
0.01593790002516471,3.24,60789.97
0.01639970001997426,3.24,60670.17
0.016836299997521564,3.25,61171.36
0.01728300002287142,3.24,60710.06
0.0177288000122644,3.24,60950.18
0.01816880001570098,3.24,60789.97
0.01860880001913756,3.24,60560.62
0.019049700000323355,3.24,60940.14
0.01949070001137443,3.24,60680.14
0.0199379000114277,3.24,60910.07
0.020379100024001673,3.24,60779.97
0.020827400003327057,3.24,60520.85
0.021273799997288734,3.24,61010.39
0.02172310001333244,3.24,60700.09
0.022168399998918176,3.24,61000.36
0.022614900022745132,3.24,60760.0
0.02305660001002252,3.24,60580.52
0.023505999997723848,3.25,61181.45
0.02394730001105927,3.24,60750.0
0.024384000018471852,3.24,60990.31
0.02482570000574924,3.24,60849.98
0.025279699999373406,3.24,60491.04
0.02578140000696294,3.25,61141.14
0.0262331000121776,3.23,60421.57
0.026680200011469424,3.24,60890.03
0.0271266000054311,3.24,60740.02
0.027569099998800084,3.23,60471.18
0.028010200010612607,3.25,61161.29
0.028454700019210577,3.24,60500.97
0.028899400000227615,3.24,60849.98
0.029339000000618398,3.24,60630.3
0.029777700023259968,3.24,60660.2
0.030217699997592717,3.24,60760.0
0.03066050002234988,3.24,60600.43
0.031102400011150166,3.25,61060.64
0.03153330000350252,3.24,60670.17
0.032044799998402596,3.24,60500.97
0.03251499999896623,3.24,60769.98
0.033136700018076226,3.24,60580.52
0.03369650000240654,3.25,61020.44
0.034154799999669194,3.24,60700.09
0.034605000022565946,3.23,60471.18
0.03505490001407452,3.24,60700.09
0.03558390002581291,3.23,60105.27
0.03610570001183078,3.24,61010.39
0.036627399997087196,3.24,60730.03
0.037140100001124665,3.23,60401.73
0.03764950000913814,3.24,60860.0
0.03822700001182966,3.23,60223.63
0.03874820002238266,3.24,60860.0
0.03926580000552349,3.24,60750.0
0.03977840000879951,3.23,60391.83
0.0402851999970153,3.24,60720.05
0.04079490000731312,3.23,60292.81
0.04130870001972653,3.25,61090.82
0.041816300014033914,3.24,60670.17
0.0423268000013195,3.23,60391.83
0.04283370001940057,3.24,60769.98
0.04334600002039224,3.23,60362.09
0.04385110002476722,3.25,61050.58
0.04436030000215396,3.24,60650.23
0.04487209999933839,3.23,60362.09
0.0453799000242725,3.24,60530.8
0.04588540000258945,3.23,60213.76
0.04639500001212582,3.24,60930.12
0.04690000001573935,3.24,60590.47
0.04741120000835508,3.23,60312.6
0.04791940000723116,3.24,60660.2
0.048464000021340325,3.23,60213.76
0.048976500023854896,3.24,60880.02
0.049487700016470626,3.24,60630.3
0.04999930001213215,3.23,60332.39
0.050561900017783046,3.24,60610.38
0.051083500002278015,3.23,60174.28
0.05160630002501421,3.24,60769.98
0.052125100017292425,3.24,60550.67
0.05275220001931302,3.23,60233.51
0.053273199999239296,3.24,60560.62
0.05379080001148395,3.23,60036.37
0.054307500016875565,3.24,60910.07
0.05481610001879744,3.23,60451.33
0.055328300019027665,3.23,60213.76
0.05583980001392774,3.23,60481.1
