Time (s),Voltage (V),Resistance (Ohm)
27.518974781036377,4.96,4204553.0
27.5311598777771,4.88,1294968.5
27.543585538864136,4.69,502388.37
27.555577516555786,4.79,739155.87
27.567807912826538,4.99,13575230.0
28.220513582229614,4.99,14472557.0
28.232372283935547,4.7,524079.75
28.24514389038086,4.59,372032.34
28.256165504455566,4.57,347020.21
28.26845645904541,4.58,357474.68
28.28094244003296,4.59,368154.78
28.29330539703369,4.61,394876.93
28.305801153182983,4.62,398443.37
28.317557334899902,4.61,384721.56
28.32989192008972,4.58,358517.37
28.342039346694946,4.55,335715.28
28.354389667510986,4.63,415369.53
28.366774082183838,4.55,334483.4
28.378629207611084,4.53,316808.0
28.388190746307373,4.5,299745.25
28.400641441345215,4.5,298117.53
28.41256880760193,4.58,357995.31
28.425024032592773,4.49,291883.12
28.43738341331482,4.55,331288.59
28.44959020614624,4.48,286226.25
28.461939334869385,4.48,283584.84
28.474448919296265,4.45,264431.28
28.486425161361694,4.41,244719.43
28.49874258041382,4.37,228075.95
28.510961532592773,4.38,232486.71
28.52307653427124,4.4,240320.32
28.535269260406494,4.41,248539.96
28.54679846763611,4.43,256505.56
28.558899641036987,4.48,283584.84
28.571082830429077,4.51,303434.31
28.579997539520264,4.5,296136.18
28.59215998649597,4.51,300881.46
28.60524606704712,4.54,326232.59
28.61752200126648,4.65,438428.68
28.62991952896118,4.71,544554.25
28.642099380493164,4.69,506987.75
28.65441107749939,4.62,406633.84
28.66662859916687,4.63,408176.37
28.678958415985107,4.66,457068.59
28.691484928131104,4.74,608088.5
28.703593254089355,4.71,529420.12
28.71570086479187,4.73,570704.43
28.727426767349243,4.76,643576.06
28.739745616912842,4.49,293207.75
28.751819372177124,4.55,336644.43
28.76367473602295,4.55,329637.4
28.773041009902954,4.73,587301.18
28.785566568374634,4.58,355406.81
28.797762632369995,4.57,353360.28
28.810240745544434,4.69,505665.46
28.821056365966797,4.51,304595.93
28.833271026611328,4.58,363098.96
28.84565830230713,4.57,352514.03
28.857943296432495,4.54,321886.28
28.870267629623413,4.56,338360.18
28.88273334503174,4.56,338516.87
28.8951153755188,4.54,322891.12
28.9077467918396,4.5,299242.68
28.919896841049194,4.62,397387.81
28.932114601135254,4.55,336955.09
28.944267511367798,4.57,354551.56
28.95636296272278,4.57,354210.28
28.965510606765747,4.54,329338.56
28.97793483734131,4.53,316391.21
28.99027729034424,4.55,337422.4
29.00255799293518,4.5,298117.53
29.01498007774353,4.51,304985.0
29.02705192565918,4.51,304855.0
29.03943920135498,4.51,305895.96
29.051833391189575,4.51,306288.09
