Time (s),Voltage (V),Resistance (Ohm)
0.0013270378112792969,4.73,574874.43
0.0026862621307373047,4.73,582097.87
0.0039157867431640625,4.73,579529.31
0.0050961971282958984,4.73,579103.5
0.006263256072998047,4.73,582527.93
0.0074350833892822266,4.73,574874.43
0.008829116821289062,4.73,582097.87
0.010187149047851562,4.73,583390.81
0.011509895324707031,4.73,581668.5
0.012700080871582031,4.73,581239.68
0.013886213302612305,4.73,577828.5
0.015073299407958984,4.73,585557.0
0.01624774932861328,4.73,588176.5
0.01742100715637207,4.73,582097.87
0.01861739158630371,4.73,582097.87
0.01979231834411621,4.73,578677.18
0.020966768264770508,4.73,583822.56
0.022141218185424805,4.73,578677.18
0.023429393768310547,4.73,582527.93
0.026597023010253906,4.73,579955.75
0.027918100357055664,4.73,576981.12
0.029074668884277344,4.73,585122.75
0.030220508575439453,4.73,579529.31
0.031304121017456055,4.73,582958.5
0.03244376182556152,4.73,578677.18
0.03356027603149414,4.73,574874.43
0.03473854064941406,4.73,585557.0
0.03581047058105469,4.73,584688.06
0.03685927391052246,4.73,579955.75
0.037897348403930664,4.73,581668.5
0.03893280029296875,4.73,579529.31
0.03997635841369629,4.73,585557.0
0.04104208946228027,4.73,579955.75
0.04207897186279297,4.73,581239.68
0.04311370849609375,4.73,579955.75
0.04421663284301758,4.73,571534.43
0.04542136192321777,4.73,587301.18
0.04679417610168457,4.73,580810.37
0.04789018630981445,4.73,580810.37
0.048949480056762695,4.73,580382.75
0.049997568130493164,4.73,574874.43
0.05104875564575195,4.73,585557.0
0.05208849906921387,4.73,584688.06
0.053133487701416016,4.73,582097.87
0.05417656898498535,4.73,582958.5
0.05523800849914551,4.73,577828.5
0.056316375732421875,4.73,585122.75
0.060735225677490234,4.73,576981.12
0.0731043815612793,4.73,579103.5
0.08537077903747559,4.73,580382.75
0.09755110740661621,4.73,575295.43
0.10973668098449707,4.73,585991.87
0.12187838554382324,4.73,579529.31
0.1339890956878662,4.73,577828.5
0.14588499069213867,4.73,578252.56
0.15812134742736816,4.73,576137.12
0.17008018493652344,4.73,586427.31
0.17928194999694824,4.73,580382.75
0.19178056716918945,4.73,582527.93
0.20417141914367676,4.73,585991.87
0.21638751029968262,4.73,583390.81
0.22848296165466309,4.73,586427.31
0.2406022548675537,4.73,581239.68
0.25326967239379883,4.73,579955.75
0.2653021812438965,4.73,581668.5
0.2776031494140625,4.73,578252.56
0.29006266593933105,4.73,587301.18
0.30238795280456543,4.73,578677.18
0.31431031227111816,4.73,579103.5
0.3264651298522949,4.73,580382.75
0.3384263515472412,4.73,576558.81
0.35053205490112305,4.73,587301.18
0.3597288131713867,4.73,582958.5
0.37206125259399414,4.73,582527.93
0.3844020366668701,4.73,587301.18
0.39640116691589355,4.73,579955.75
0.4088146686553955,4.73,587301.18
0.42124438285827637,4.73,584688.06
0.4336240291595459,4.73,579955.75
0.44560933113098145,4.73,579955.75
0.4577786922454834,4.73,572365.68
0.47024083137512207,4.73,586427.31
0.4826633930206299,4.73,578677.18
0.4948537349700928,4.73,579955.75
0.5067832469940186,4.73,582527.93
0.5188474655151367,4.73,576137.12
0.5310735702514648,4.73,588615.0
0.5430476665496826,4.73,582097.87
0.5522928237915039,4.73,581239.68
0.5644891262054443,4.73,588615.0
0.577141284942627,4.73,583390.81
0.5889475345611572,4.73,589055.31
0.6014018058776855,4.73,587301.18
0.6136555671691895,4.73,579955.75
0.6260461807250977,4.73,585122.75
0.6381852626800537,4.73,577405.06
0.6504502296447754,4.73,588176.5
0.662651777267456,4.73,585122.75
0.6750788688659668,4.73,579529.31
0.6871089935302734,4.73,582958.5
0.6991391181945801,4.73,574036.18
0.7113621234893799,4.73,588176.5
0.7233321666717529,4.73,585557.0
0.7353737354278564,4.73,581668.5
0.7447893619537354,4.73,584688.06
0.7571697235107422,4.73,583822.56
0.769054651260376,4.74,592148.06
0.7816600799560547,4.73,586863.43
0.7939832210540771,4.73,581239.68
0.8062300682067871,4.73,587738.56
0.8182475566864014,4.73,579955.75
0.8306679725646973,4.74,590376.5
0.8424303531646729,4.73,586427.31
0.8542866706848145,4.73,582527.93
0.8664727210998535,4.73,584688.06
0.8786303997039795,4.73,583390.81
0.8909003734588623,4.74,590376.5
0.9031093120574951,4.73,586863.43
0.9156367778778076,4.73,582097.87
0.9243927001953125,4.73,588176.5
0.9366986751556396,4.74,590376.5
0.9488732814788818,4.74,596170.75
0.9614038467407227,4.74,591261.62
0.9739067554473877,4.73,584255.06
0.9865353107452393,4.73,588615.0
0.9984548091888428,4.73,589495.06
1.0107510089874268,4.74,592592.25
1.0232336521148682,4.74,590376.5
1.035550832748413,4.73,582958.5
1.047661304473877,4.74,592592.25
1.0597951412200928,4.73,584255.06
1.0719354152679443,4.74,593037.06
1.084097146987915,4.73,584688.06
1.095921277999878,4.73,584255.06
1.1081151962280273,4.74,592592.25
1.1176366806030273,4.74,590376.5
1.1295466423034668,4.74,599334.87
1.1420745849609375,4.74,593929.68
1.1544325351715088,4.73,585557.0
1.166574239730835,4.74,595272.87
1.1786901950836182,4.74,592592.25
1.1911964416503906,4.74,592148.06
1.2034873962402344,4.74,592592.25
1.2156972885131836,4.73,586863.43
1.2280988693237305,4.74,595721.5
1.2401738166809082,4.73,589495.06
1.2524876594543457,4.74,596170.75
