Trial ID,Testbed,Trial Number,Start Time,Notes
Baseline_T01,Baseline,01,2026-08-19T11:57:09,
TB2_T01,TB2,01,2026-08-19T12:01:42,
TB1_T01,TB1,01,2026-08-19T12:02:52,
TB4_T01,TB4,01,2026-08-19T12:03:49,
TB3_T01,TB3,01,2026-08-19T12:04:58,
Baseline_T01,Baseline,01,2026-08-19T12:06:14,
TB1_T01,TB1,01,2026-08-19T12:09:09,
TB1_T02,TB1,02,2026-08-19T12:14:30,
TB1_T02,TB1,02,2026-08-19T12:15:54,
TB2_T02,TB2,02,2026-08-19T12:16:57,
Hardness_30_T01,Hardness_30,30,01,2026-08-19T12:25:06,
Hardness_10_T01,Hardness_10,10,01,2026-08-19T12:26:06,
Hardness_20_T01,Hardness_20,20,01,2026-08-19T12:27:21,
Hardness_50_T01,Hardness_50,50,01,2026-08-19T12:28:21,
Gel_T01,Gel,N/A,01,2026-08-19T12:29:19,
No_Testbed_T01,No_Testbed,N/A,01,2026-08-19T12:30:14,
No_Testbed_T02,No_Testbed,N/A,02,2026-08-19T12:31:07,
Hardness_20_T02,Hardness_20,20,02,2026-08-19T12:34:51,
Hardness_10_T02,Hardness_10,10,02,2026-08-19T12:36:22,
Hardness_50_T02,Hardness_50,50,02,2026-08-19T12:37:32,
Hardness_30_T02,Hardness_30,30,02,2026-08-19T12:38:48,
Hardness_10_T02,Hardness_10,10,02,2026-08-19T12:41:55,
Gel_T02,Gel,N/A,02,2026-08-19T12:57:23,
Gel_T03,Gel,N/A,03,2026-08-19T13:01:35,
Hardness_10_T03,Hardness_10,10,03,2026-08-19T13:03:12,
Hardness_20_T03,Hardness_20,20,03,2026-08-19T13:05:12,
Hardness_30_T03,Hardness_30,30,03,2026-08-19T13:07:08,
Hardness_50_T03,Hardness_50,50,03,2026-08-19T13:08:38,
No_Testbed_T03,No_Testbed,N/A,03,2026-08-19T13:10:22,
No_Testbed_T04,No_Testbed,N/A,04,2026-08-20T13:58:25,
No_Testbed_T03,No_Testbed,N/A,03,2026-08-21T10:30:45,
Hardness_20_T03,Hardness_20,20,03,2026-08-21T10:31:57,
Hardness_20_T4,Hardness_20,20,4,2026-08-21T10:49:17,
Hardness_20_T04,Hardness_20,20,04,2026-08-21T10:51:21,
No_Testbed_T03,No_Testbed,N/A,03,2026-08-21T10:52:58,
No_Testbed_T03,No_Testbed,N/A,03,2026-08-21T10:55:15,
Hardness_20_T04,Hardness_20,20,04,2026-08-21T10:57:45,
