Date_Time,Elapsed_Time_s,Temperature_C,Temperature_F,Humidity_percent,Heat_Index_C,Heat_Index_F
2026-09-17 16:09:38,1.52,24.9,76.82,99.9,26.05,78.9
2026-09-17 16:09:40,3.54,26.9,80.42,99.9,32.56,90.61
2026-09-17 16:09:42,5.56,27.6,81.68,99.9,34.93,94.87
2026-09-17 16:09:44,7.58,28.2,82.76,99.9,37.09,98.76
2026-09-17 16:09:46,9.6,28.9,84.02,99.9,39.77,103.58
2026-09-17 16:09:49,11.62,29.0,84.2,99.9,40.17,104.3
2026-09-17 16:09:51,13.65,29.3,84.74,99.9,41.38,106.48
2026-09-17 16:09:53,15.67,29.6,85.28,99.9,42.62,108.71
2026-09-17 16:09:55,17.69,29.9,85.82,99.9,43.89,111.0
2026-09-17 16:09:57,19.71,30.2,86.36,99.9,45.2,113.35
2026-09-17 16:09:59,21.73,30.5,86.9,99.9,46.53,115.76
2026-09-17 16:10:01,23.76,30.8,87.44,99.9,47.97,118.35
2026-09-17 16:10:03,25.78,31.0,87.8,99.9,48.96,120.13
2026-09-17 16:10:05,27.8,31.2,88.16,99.9,49.96,121.93
2026-09-17 16:10:07,29.82,31.4,88.52,99.9,50.98,123.76
2026-09-17 16:10:09,31.84,31.5,88.7,99.9,51.49,124.68
2026-09-17 16:10:11,33.86,31.7,89.06,99.9,52.52,126.55
2026-09-17 16:10:13,35.89,31.9,89.42,99.9,53.57,128.44
2026-09-17 16:10:15,37.91,32.0,89.6,99.9,54.1,129.39
2026-09-17 16:10:17,39.93,32.1,89.78,99.9,54.64,130.35
2026-09-17 16:10:19,41.95,32.2,89.96,99.9,55.18,131.32
2026-09-17 16:10:21,43.98,32.2,89.96,99.9,55.18,131.32
2026-09-17 16:10:23,46.0,32.4,90.32,99.9,56.26,133.27
2026-09-17 16:10:25,48.02,32.4,90.32,99.9,56.26,133.27
2026-09-17 16:10:27,50.04,32.5,90.5,99.9,56.81,134.26
2026-09-17 16:10:29,52.06,32.7,90.86,99.9,57.91,136.25
2026-09-17 16:10:31,54.08,32.7,90.86,99.9,57.91,136.25
2026-09-17 16:10:33,56.11,32.8,91.04,99.9,58.47,137.25
2026-09-17 16:10:35,58.13,32.8,91.04,99.9,58.47,137.25
2026-09-17 16:10:37,60.15,32.9,91.22,99.9,59.03,138.26
2026-09-17 16:10:39,62.17,32.9,91.22,99.9,59.03,138.26
2026-09-17 16:10:41,64.19,33.0,91.4,99.9,59.6,139.28
2026-09-17 16:10:43,66.22,33.0,91.4,99.9,59.6,139.28
2026-09-17 16:10:45,68.24,33.1,91.58,99.9,60.17,140.3
2026-09-17 16:10:47,70.26,33.1,91.58,99.9,60.17,140.3
2026-09-17 16:10:49,72.28,33.2,91.76,99.9,60.74,141.33
2026-09-17 16:10:51,74.31,33.2,91.76,99.9,60.74,141.33
2026-09-17 16:10:53,76.33,33.3,91.94,99.9,61.31,142.36
2026-09-17 16:10:55,78.35,33.4,92.12,99.9,61.89,143.41
2026-09-17 16:10:57,80.37,33.4,92.12,99.9,61.89,143.41
2026-09-17 16:10:59,82.39,33.4,92.12,99.9,61.89,143.41
2026-09-17 16:11:01,84.41,33.4,92.12,99.9,61.89,143.41
2026-09-17 16:11:03,86.44,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:05,88.46,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:07,90.48,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:09,92.5,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:11,94.53,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:13,96.55,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:15,98.57,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:17,100.59,33.5,92.3,99.9,62.47,144.45
2026-09-17 16:11:20,102.61,33.5,92.3,99.9,62.47,144.45
